Train_ID,Loss
711,4.8792114
382,4.7416835
1955,4.398586
1340,4.118409
777,4.090591
716,4.032488
1718,3.290593
358,3.260532
1134,3.134903
771,3.0411713
1886,2.9932644
1,2.956882
180,2.9436998
1750,2.9044967
761,2.8964088
680,2.8842046
249,2.6980538
1078,2.5930834
741,2.5817974
654,2.5638952
957,2.4995377
1810,2.4213006
1323,2.361681
1549,2.3516037
440,2.3466363
539,2.3103755
1823,2.299334
1121,2.2980807
1922,2.2906072
474,2.2647314
742,2.2184453
633,2.1838632
1844,2.1020336
480,1.9948229
1836,1.9859375
228,1.9751548
1088,1.9574758
1267,1.92859
107,1.9224157
1751,1.909508
1533,1.8746694
962,1.8742094
652,1.8594966
1504,1.8538289
1384,1.837635
463,1.8375287
523,1.813225
1365,1.8065481
14,1.8017044
1320,1.7852042
1006,1.7776678
1518,1.7716098
313,1.7034934
782,1.686245
494,1.6545519
245,1.6419191
1402,1.6370454
270,1.6334493
1115,1.6143421
801,1.59646
593,1.593884
1678,1.5690943
659,1.5621988
305,1.5547557
715,1.5244286
553,1.4842966
149,1.4809427
1634,1.4713798
64,1.4696522
1583,1.4334114
1582,1.4330437
1137,1.4102786
68,1.3506641
1890,1.3475087
374,1.321068
1339,1.3108251
719,1.3084064
893,1.3055006
1803,1.3050095
27,1.2674394
159,1.2313536
1789,1.2123399
1727,1.167326
92,1.1611745
1133,1.1381507
1596,1.135788
1167,1.1308479
55,1.1246654
1806,1.1236973
1838,1.1222632
764,1.122164
121,1.1209921
1070,1.1094131
1605,1.1052654
746,1.087649
1091,1.0855706
462,1.0631404
1327,1.0539124
929,1.0417247
370,1.0350229
1228,1.0282674
1305,1.0203857
411,1.0060687
718,1.0006163
1561,0.9750579
1183,0.9698758
921,0.9629606
1263,0.9373076
1963,0.9372306
1937,0.93147576
1310,0.92923677
1527,0.91757953
1237,0.91135085
80,0.9031859
1926,0.89901435
1538,0.8975959
1691,0.8967855
512,0.8958493
1692,0.8957551
1502,0.8952677
1432,0.892987
351,0.88133466
1546,0.8790141
599,0.87727886
1570,0.8721004
1360,0.8701466
723,0.8661609
1031,0.86612535
394,0.86103696
1733,0.8568795
1476,0.8516618
954,0.8495842
1451,0.8470868
283,0.8397112
1828,0.8151717
1087,0.81130654
181,0.8106306
1371,0.8059393
1766,0.8057139
665,0.8005197
1018,0.7987093
1732,0.7982023
1990,0.7947839
210,0.79344416
881,0.77853405
1478,0.77446187
1448,0.7657967
282,0.7600952
375,0.7585851
1852,0.75855744
1878,0.7576465
1041,0.7560342
858,0.7476521
1809,0.73940283
607,0.73268354
1564,0.7300043
179,0.72761
1409,0.7263285
649,0.7252193
1131,0.71302533
429,0.712021
1983,0.7105447
1796,0.70949924
1465,0.70194656
621,0.7007636
1539,0.69782
1585,0.69581527
1657,0.6838496
631,0.6819301
1033,0.6753472
855,0.67132974
1205,0.6713091
1247,0.66880053
502,0.6683565
1198,0.6675041
972,0.6669412
1632,0.66208637
1358,0.65669197
1664,0.6431236
914,0.6424537
1885,0.63167965
1825,0.6195312
669,0.61774796
336,0.6116227
1174,0.6110326
1260,0.6100754
743,0.6058546
33,0.5860147
143,0.58049726
278,0.5787326
988,0.5692265
390,0.5670986
1822,0.5653012
1832,0.56458753
1552,0.56458247
1755,0.56167006
1627,0.560346
214,0.5519969
583,0.5458462
1288,0.54525787
1981,0.5450769
1907,0.5429777
225,0.54016095
714,0.53829885
18,0.5333269
1382,0.5287649
794,0.5273278
703,0.5271886
778,0.5218649
47,0.52179015
1848,0.5129203
911,0.5097903
1274,0.5054311
554,0.50374556
603,0.49820566
275,0.49570304
1426,0.49510676
1575,0.49156916
256,0.49060965
1471,0.49015898
767,0.48911834
769,0.4869946
1511,0.48628512
380,0.4809807
877,0.47960818
1416,0.4666378
660,0.46583915
74,0.4619953
1319,0.45977527
400,0.45837343
940,0.45639396
1579,0.45085338
1114,0.44950017
1469,0.44867498
12,0.4480449
1035,0.4470412
1424,0.44134265
475,0.44070446
632,0.43715203
310,0.4292257
1891,0.4285737
1306,0.42769796
194,0.4266155
1670,0.42421985
624,0.4241353
53,0.42199814
24,0.4213141
75,0.42080912
1532,0.41820702
160,0.41516864
1328,0.41286242
383,0.4123826
827,0.41058987
906,0.4094034
1863,0.40836468
120,0.40700713
1487,0.3989482
927,0.39750665
507,0.39741462
1505,0.39578423
416,0.39395818
1562,0.39262468
1485,0.38957304
638,0.3891403
1058,0.38745534
94,0.3868754
241,0.38121068
37,0.379872
167,0.37738386
261,0.3748767
1964,0.37466112
504,0.36884215
1062,0.36799675
1974,0.36694258
969,0.3633271
823,0.36281177
102,0.36201587
1968,0.3613753
1988,0.36003837
1311,0.35506675
685,0.35464734
1779,0.35429257
459,0.35249996
1972,0.3505137
1406,0.35029522
162,0.34691718
1663,0.34574556
1544,0.34470412
831,0.34316272
42,0.34275615
1276,0.33812353
859,0.33796743
1719,0.3361032
32,0.3340961
359,0.333019
1874,0.33112118
795,0.3298294
76,0.32890803
1083,0.3277152
38,0.32766408
1607,0.32742488
1175,0.32675517
1611,0.3241448
1108,0.3229695
586,0.32159808
1721,0.32014948
1769,0.3196208
833,0.31618756
366,0.31569257
1780,0.31565493
477,0.31549028
617,0.31460145
353,0.31100202
1283,0.30897135
290,0.3070287
1040,0.30660954
1560,0.305738
1086,0.3056956
402,0.30453888
728,0.3009974
812,0.30073604
378,0.29910937
1122,0.29740438
544,0.29648224
626,0.2927104
581,0.290701
925,0.28967756
1747,0.28496104
133,0.28035605
1494,0.27882615
551,0.27798888
971,0.27767396
57,0.27599618
447,0.27515224
758,0.2739686
488,0.27334017
601,0.27313235
1938,0.27188867
1961,0.2695221
1026,0.2692921
1797,0.26917207
655,0.26909083
1014,0.26888332
1199,0.26771814
1851,0.26636112
1418,0.26547348
1324,0.2648408
1004,0.26385698
521,0.26316455
1317,0.26308683
431,0.26279265
1067,0.2619802
458,0.26180086
701,0.26038146
1490,0.2570073
1154,0.25645077
566,0.2563934
1224,0.25519446
1140,0.25122124
1034,0.2506379
613,0.24839965
905,0.2477352
1093,0.24530447
1508,0.2450176
1383,0.24399279
1928,0.2436792
1279,0.24290343
667,0.24229409
1419,0.2380312
235,0.23755358
1523,0.23679093
547,0.23638575
473,0.23475882
6,0.23455226
421,0.23385732
930,0.23371457
1441,0.2332854
1577,0.23203091
813,0.2312121
1113,0.23120272
890,0.2307473
1488,0.23045708
1479,0.22852683
1072,0.22757536
1503,0.22557475
815,0.22546838
1038,0.22460447
1362,0.22316206
448,0.22306877
1190,0.22237441
999,0.22224937
1569,0.22102816
104,0.22019742
965,0.21989991
525,0.21884681
1003,0.2186286
395,0.21802977
722,0.21801165
177,0.21780477
1770,0.21772309
894,0.21733621
1752,0.21722981
1699,0.21396546
600,0.21348614
314,0.21339937
587,0.21320184
1188,0.21170978
1359,0.21035142
242,0.210104
1166,0.21000245
996,0.20957623
304,0.20901974
775,0.2089735
1879,0.20889737
1044,0.20706168
1020,0.20631477
1996,0.20626628
690,0.20421281
604,0.20398031
984,0.2028307
285,0.20279196
941,0.2018598
528,0.20146099
455,0.20101131
1407,0.19946305
1005,0.1991807
93,0.19889387
754,0.19858253
549,0.19758314
21,0.19741201
1824,0.19714415
114,0.19704774
153,0.19676538
612,0.19483751
1289,0.1948011
1615,0.19444422
274,0.19294749
82,0.19243997
570,0.19140558
781,0.18907017
1593,0.18826763
1811,0.18770795
1914,0.18760626
1628,0.18693537
1617,0.18693496
141,0.18689503
1136,0.186535
327,0.18580864
20,0.18501101
1613,0.18481553
1830,0.18467757
1870,0.18449223
1876,0.18423645
1491,0.18260528
1443,0.18147346
534,0.18119603
1500,0.18089046
1351,0.18085633
430,0.18023345
1164,0.17838083
1625,0.17757256
197,0.17674696
990,0.17627414
683,0.17516255
1375,0.17422049
1623,0.17343682
828,0.17343031
1036,0.17335774
134,0.17335543
1413,0.17325869
297,0.17307593
573,0.17201197
1025,0.17171252
614,0.17079061
1226,0.17020708
933,0.16986203
541,0.16971557
1054,0.16958398
1940,0.16918808
1378,0.1690989
1460,0.1682458
737,0.16725817
1497,0.16642614
460,0.16627371
1341,0.1656137
422,0.16540377
1884,0.16464297
205,0.16461557
837,0.16330487
1862,0.16115406
766,0.16039003
1571,0.15851642
740,0.15816182
1673,0.15725198
1793,0.1569168
699,0.15671788
339,0.15658201
1143,0.15644246
1080,0.15611863
464,0.15585029
25,0.15556054
1396,0.15539819
391,0.15539758
1556,0.15530206
611,0.15446183
993,0.15281376
1872,0.1527318
1775,0.1509964
1711,0.15077057
1189,0.15040089
377,0.14851092
1591,0.14811173
895,0.14801386
499,0.14637972
1363,0.14610639
1578,0.14588521
1056,0.14572777
1245,0.14494455
1630,0.14454485
752,0.14416967
1105,0.14411002
785,0.14408731
434,0.14373426
641,0.1431247
825,0.14285512
1639,0.14235556
1689,0.1421655
363,0.14213148
1307,0.14199424
637,0.14150676
1400,0.14100973
584,0.14029905
291,0.14009918
405,0.14007172
1069,0.1393417
1774,0.13896456
443,0.13860783
832,0.13792275
456,0.13689294
1264,0.13572066
1386,0.13498767
1550,0.13324663
23,0.1322915
413,0.1318235
1096,0.13131264
548,0.13103484
1234,0.13095975
1393,0.13075654
1061,0.13056625
1910,0.13054492
1929,0.13054252
155,0.1292692
444,0.12912641
486,0.12894347
