id,label,cluster_id
1,1,1_dense
2,1,1_sparse
3,1,1_sparse
4,1,1_dense
5,1,1_dense
6,0,0_sparse
7,0,0_sparse
8,1,1_dense
9,0,0_sparse
10,1,1_dense
11,0,0_sparse
12,0,0_dense
13,1,1_sparse
14,0,0_dense
15,1,1_sparse
16,0,0_dense
17,0,0_dense
18,0,0_sparse
19,1,1_dense
20,0,0_dense
21,1,1_sparse
22,0,0_dense
23,0,0_sparse
24,0,0_dense
25,1,1_sparse
26,1,1_dense
27,0,0_dense
28,1,1_dense
29,1,1_sparse
30,1,1_dense
31,1,1_dense
32,0,0_sparse
33,0,0_dense
34,1,1_dense
35,1,1_sparse
36,1,1_dense
37,1,1_dense
38,0,0_dense
39,0,0_sparse
40,0,0_dense
41,0,0_sparse
42,1,1_sparse
43,1,1_sparse
44,1,1_sparse
45,0,0_dense
46,1,1_sparse
47,1,1_sparse
48,1,1_sparse
49,1,1_dense
50,0,0_dense
51,0,0_sparse
52,1,1_dense
53,0,0_dense
54,0,0_sparse
55,0,0_sparse
56,1,1_dense
57,0,0_sparse
58,0,0_dense
59,1,1_sparse
60,0,0_dense
61,0,0_dense
62,1,1_dense
63,0,0_dense
64,0,0_sparse
65,1,1_dense
66,1,1_dense
67,1,1_sparse
68,1,1_dense
69,1,1_dense
70,1,1_sparse
71,1,1_dense
72,1,1_sparse
73,1,1_dense
74,0,0_sparse
75,1,1_dense
76,1,1_dense
77,1,1_dense
78,0,0_dense
79,0,0_sparse
80,1,1_dense
81,0,0_sparse
82,0,0_sparse
83,1,1_sparse
84,0,0_sparse
85,1,1_sparse
86,0,0_sparse
87,0,0_sparse
88,0,0_dense
89,1,1_dense
90,0,0_sparse
91,0,0_sparse
92,1,1_sparse
93,1,1_dense
94,1,1_dense
95,1,1_sparse
96,0,0_sparse
97,1,1_sparse
98,0,0_dense
99,1,1_dense
100,1,1_dense
101,0,0_dense
102,0,0_dense
103,1,1_sparse
104,1,1_dense
105,0,0_sparse
106,1,1_sparse
107,0,0_sparse
108,1,1_dense
109,1,1_dense
110,0,0_sparse
111,0,0_sparse
112,1,1_sparse
113,1,1_dense
114,0,0_dense
115,1,1_sparse
116,0,0_sparse
117,0,0_sparse
118,0,0_dense
119,0,0_sparse
120,0,0_dense
121,0,0_dense
122,1,1_sparse
123,0,0_dense
124,1,1_dense
125,1,1_sparse
126,1,1_sparse
127,0,0_sparse
128,1,1_sparse
129,1,1_sparse
130,1,1_sparse
131,1,1_sparse
132,1,1_dense
133,0,0_dense
134,0,0_dense
135,1,1_sparse
136,0,0_sparse
137,0,0_dense
138,0,0_sparse
139,1,1_dense
140,0,0_dense
141,0,0_dense
142,1,1_dense
143,0,0_dense
144,1,1_sparse
145,0,0_dense
146,1,1_dense
147,1,1_sparse
148,0,0_dense
149,1,1_sparse
150,1,1_dense
151,0,0_sparse
152,1,1_dense
153,1,1_sparse
154,0,0_dense
155,1,1_dense
156,0,0_dense
157,0,0_dense
158,0,0_sparse
159,1,1_dense
160,1,1_sparse
161,1,1_sparse
162,1,1_sparse
163,1,1_dense
164,0,0_dense
165,1,1_sparse
166,1,1_dense
167,0,0_dense
168,1,1_dense
169,0,0_dense
170,1,1_dense
171,0,0_sparse
172,1,1_sparse
173,1,1_sparse
174,1,1_dense
175,1,1_dense
176,1,1_dense
177,0,0_sparse
178,0,0_dense
179,1,1_sparse
180,0,0_dense
181,0,0_sparse
182,0,0_sparse
183,1,1_dense
184,1,1_sparse
185,1,1_sparse
186,0,0_dense
187,0,0_dense
188,1,1_dense
189,1,1_sparse
190,0,0_sparse
191,0,0_sparse
192,0,0_dense
193,1,1_sparse
194,0,0_dense
195,1,1_dense
196,0,0_sparse
197,0,0_dense
198,0,0_sparse
199,1,1_dense
200,1,1_sparse
201,1,1_sparse
202,1,1_dense
203,0,0_sparse
204,0,0_sparse
205,1,1_dense
206,1,1_dense
207,0,0_sparse
208,1,1_sparse
209,0,0_sparse
210,0,0_dense
211,0,0_dense
212,0,0_sparse
213,1,1_sparse
214,1,1_dense
215,0,0_dense
216,0,0_sparse
217,1,1_sparse
218,1,1_dense
219,1,1_dense
220,1,1_dense
221,1,1_sparse
222,0,0_sparse
223,1,1_dense
224,1,1_dense
225,0,0_dense
226,1,1_dense
227,1,1_sparse
228,1,1_sparse
229,0,0_dense
230,1,1_sparse
231,0,0_sparse
232,0,0_sparse
233,1,1_sparse
234,1,1_dense
235,1,1_sparse
236,0,0_dense
237,1,1_sparse
238,0,0_dense
239,0,0_sparse
240,1,1_sparse
241,0,0_sparse
242,1,1_sparse
243,1,1_sparse
244,0,0_sparse
245,0,0_dense
246,1,1_sparse
247,0,0_sparse
248,0,0_sparse
249,1,1_sparse
250,1,1_sparse
251,1,1_sparse
252,0,0_dense
253,0,0_sparse
254,0,0_sparse
255,1,1_sparse
256,0,0_sparse
257,1,1_dense
258,1,1_sparse
259,0,0_dense
260,1,1_sparse
261,1,1_sparse
262,0,0_dense
263,1,1_dense
264,1,1_dense
265,0,0_dense
266,1,1_dense
267,0,0_sparse
268,0,0_sparse
269,1,1_dense
270,0,0_sparse
271,0,0_dense
272,1,1_dense
273,1,1_dense
274,0,0_sparse
275,0,0_dense
276,1,1_dense
277,1,1_sparse
278,1,1_sparse
279,1,1_sparse
280,0,0_dense
281,1,1_dense
282,0,0_sparse
283,1,1_sparse
284,1,1_dense
285,0,0_sparse
286,1,1_dense
