id,label,cluster_id
1,0,0_sparse
2,1,1_sparse
3,1,1_dense
4,1,1_sparse
5,0,0_dense
6,1,1_dense
7,0,0_dense
8,1,1_sparse
9,0,0_dense
10,1,1_dense
11,1,1_sparse
12,1,1_sparse
13,1,1_sparse
14,0,0_sparse
15,0,0_dense
16,0,0_sparse
17,1,1_sparse
18,1,1_sparse
19,1,1_dense
20,1,1_sparse
21,1,1_sparse
22,0,0_sparse
23,1,1_dense
24,1,1_dense
25,1,1_dense
26,0,0_sparse
27,1,1_sparse
28,1,1_dense
29,0,0_dense
30,1,1_dense
31,1,1_dense
32,0,0_sparse
33,1,1_sparse
34,1,1_dense
35,1,1_sparse
36,1,1_dense
37,1,1_dense
38,0,0_dense
39,1,1_dense
40,1,1_sparse
41,1,1_sparse
42,0,0_dense
43,1,1_sparse
44,1,1_sparse
45,1,1_dense
46,0,0_dense
47,0,0_dense
48,1,1_sparse
49,1,1_sparse
50,0,0_dense
51,1,1_dense
52,0,0_sparse
53,1,1_sparse
54,1,1_sparse
55,1,1_dense
56,1,1_dense
57,1,1_sparse
58,1,1_dense
59,0,0_dense
60,1,1_dense
61,0,0_dense
62,0,0_dense
63,0,0_dense
64,1,1_sparse
65,1,1_sparse
66,1,1_dense
67,0,0_dense
68,1,1_dense
69,0,0_sparse
70,0,0_sparse
71,0,0_sparse
72,0,0_sparse
73,1,1_sparse
74,1,1_sparse
75,1,1_dense
76,1,1_sparse
77,1,1_sparse
78,0,0_dense
79,0,0_sparse
80,1,1_sparse
81,0,0_dense
82,1,1_dense
83,1,1_sparse
84,0,0_dense
85,0,0_dense
86,0,0_sparse
87,0,0_sparse
88,0,0_dense
89,0,0_sparse
90,1,1_sparse
91,0,0_dense
92,0,0_dense
93,1,1_dense
94,1,1_sparse
95,0,0_sparse
96,1,1_dense
97,0,0_sparse
98,1,1_sparse
99,0,0_dense
100,0,0_dense
101,1,1_sparse
102,1,1_sparse
103,0,0_sparse
104,0,0_dense
105,1,1_dense
106,1,1_sparse
107,0,0_dense
108,1,1_sparse
109,1,1_sparse
110,1,1_sparse
111,1,1_sparse
112,1,1_dense
113,0,0_dense
114,0,0_sparse
115,0,0_sparse
116,0,0_sparse
117,1,1_sparse
118,1,1_dense
119,0,0_dense
120,1,1_sparse
121,0,0_dense
122,1,1_sparse
123,1,1_sparse
124,1,1_dense
125,0,0_dense
126,1,1_dense
127,0,0_dense
128,1,1_sparse
129,0,0_dense
130,1,1_dense
131,1,1_sparse
132,1,1_dense
133,1,1_dense
134,0,0_dense
135,1,1_sparse
136,0,0_sparse
137,1,1_dense
