Top K,FOIF Entropy,TracIn Entropy
10,0.7364516253185087,0.796657624451305
50,0.9770619773231706,0.9474260047157049
100,0.9849505831940564,0.9873604326318677
150,0.9872960032523197,0.9909804715308297
200,0.9923233203485832,0.9959687985509249
250,0.994041869911547,0.9957252465408275
300,0.9962345686569861,0.9943032101763046
350,0.99598565217999,0.9950303160607513
400,0.997901113452934,0.9970510070058228
450,0.9987152091139135,0.9964276964027249
500,0.9987304902505223,0.9977764984612476
