n,K,FOIF Entropy,TracIn Entropy
1,10,1.0,1.0
2,10,1.0,0.9709505944546688
3,10,0.9372305632161295,0.858672711073255
4,10,0.9609640474436812,0.9477309221191609
5,10,1.0000000000000002,0.8163309830360064
6,10,0.9464119282150146,0.7143002438742897
7,10,0.969570350190125,0.6577149651308424
8,10,0.9073093649624542,0.7488131148903386
9,10,0.9217656864304008,0.7086727110732551
10,10,0.7966576244513048,0.6762456261857126
1,50,1.0,1.0
2,50,0.9895875212220555,1.0
3,50,0.9724616681466846,0.9929868938532104
4,50,0.9845127868218255,0.9873760662416732
5,50,0.9710688877265707,0.9895651347312795
6,50,0.9779916250330717,0.9764911190725387
7,50,0.9818444090988819,0.9850586979821949
8,50,0.9614437088707648,0.9527894406103425
9,50,0.9677550947175715,0.9771623747635433
10,50,0.9443602913018514,0.9438472297305396
1,100,1.0,1.0
2,100,0.9974015885677396,1.0
3,100,0.992916132157956,0.992916132157956
4,100,0.9879904859083348,0.9932227282265211
5,100,0.9922835020934762,0.9899205790006251
6,100,0.9909863202061723,0.9938059850807479
7,100,0.9857854098980547,0.9876390794149522
8,100,0.9883353120987522,0.9921826949184486
9,100,0.9847160807043255,0.9818603371529172
10,100,0.9851724166345229,0.9879029412690349
1,500,1.0,1.0
2,500,0.9999884584088952,0.9990649315776106
3,500,0.997058960545405,0.999046895307184
4,500,0.9988190807467117,0.9978723099172582
5,500,0.9981703025931234,0.996208880705316
6,500,0.9986684633396832,0.9970258397617711
7,500,0.998007234513934,0.9973414391608422
8,500,0.9984049490353275,0.9958937078745201
9,500,0.998761662335114,0.9934046076963984
10,500,0.9975493838800423,0.9947156505315655
