Train_ID,Clean_Label,Noisy_Label,is_noisy,Training_Loss
5018,1,1,0,0.32408237
10999,1,0,1,1.0275464
3146,1,0,1,1.8376023
9147,0,0,0,0.2628754
12955,1,1,0,0.52008486
4304,0,0,0,0.14548633
976,0,0,0,0.1477384
10588,0,0,0,0.33768794
10423,0,0,0,0.14422086
12065,0,0,0,0.4278417
11817,0,0,0,0.21683006
3814,0,0,0,0.12375541
12872,1,1,0,0.20203486
11003,0,0,0,0.2034388
6574,1,1,0,0.39424458
14237,0,0,0,0.3534479
108,0,0,0,0.22494684
15865,0,0,0,0.2058433
575,0,0,0,0.31190452
945,0,0,0,0.40393838
14277,1,1,0,0.1269606
13474,0,0,0,0.27633625
1126,0,0,0,0.04611956
5210,0,0,0,0.2580511
2522,1,1,0,0.22044997
5625,0,0,0,0.22685891
7590,0,0,0,0.18118061
6364,0,0,0,0.3662698
1109,1,1,0,1.0961027
2442,0,0,0,0.37982216
13240,0,0,0,0.25618628
7366,0,0,0,0.33589873
6705,0,1,1,1.5587127
8633,1,1,0,0.231205
14231,0,0,0,0.1313492
3164,0,1,1,1.5373546
6699,0,0,0,0.18645102
15341,0,0,0,0.2203733
6012,0,1,1,1.7534508
12146,0,1,1,1.7378218
9112,1,0,1,1.1528592
8069,1,1,0,0.59613186
16419,1,0,1,0.7539897
8676,0,0,0,0.17602593
6731,1,0,1,0.21697718
6096,1,1,0,0.3414733
10922,1,1,0,0.17089371
11590,0,0,0,0.13889982
726,0,1,1,1.8206011
15588,0,1,1,1.5827514
13772,0,0,0,0.21678506
7557,0,1,1,1.6732553
15697,0,0,0,0.26967266
15796,0,0,0,0.10833917
13722,1,1,0,0.26229233
6747,0,0,0,0.24168098
7268,0,0,0,0.49780068
14774,1,1,0,0.30282903
7637,0,1,1,1.5951843
12023,0,0,0,0.48335028
7920,0,0,0,0.3506027
12083,0,0,0,0.2372877
1883,0,0,0,0.27031007
2894,1,1,0,0.53838575
14671,0,0,0,0.086999275
14121,1,1,0,0.2148809
706,0,0,0,0.43167788
8108,0,1,1,0.96581817
6823,1,0,1,1.3366735
3572,0,0,0,0.20410736
6206,1,1,0,0.45609045
3791,0,0,0,0.59401214
1895,0,0,0,0.20302892
4581,1,1,0,0.15831304
5797,1,1,0,0.5200646
7293,0,0,0,0.14630775
14651,0,0,0,0.10057556
9110,0,0,0,0.20190294
1912,0,0,0,0.24276924
308,0,0,0,0.28438228
8651,0,0,0,0.15471411
12300,1,1,0,0.3736696
985,0,0,0,0.1736664
663,1,1,0,0.29786044
3963,0,0,0,0.2551588
7087,0,1,1,1.759762
6850,0,0,0,0.27505282
6673,0,0,0,0.31062573
11625,0,0,0,0.28703755
8341,0,1,1,1.6216012
10754,1,1,0,0.30914742
10195,0,1,1,1.0065889
16298,0,0,0,0.61431384
9719,1,1,0,0.118565165
15785,0,0,0,0.21516906
3890,1,1,0,0.4001981
15494,0,0,0,0.28850484
2554,0,1,1,1.289565
6549,1,1,0,0.08390941
11362,0,0,0,0.61387783
13884,0,0,0,0.28980228
15396,1,1,0,0.2388036
14035,0,0,0,0.16865598
5497,0,0,0,0.26240602
13243,1,1,0,0.76269054
331,0,0,0,0.3866968
9358,0,0,0,0.10821282
8073,0,0,0,0.21369438
6564,0,0,0,0.21451601
5191,1,1,0,1.0777272
3887,0,1,1,1.646066
11144,1,1,0,0.270763
10769,0,0,0,0.30333966
166,0,0,0,0.31536287
14532,0,0,0,0.17485663
6722,0,1,1,1.542127
74,0,0,0,0.38995773
6288,1,1,0,0.36767608
11862,0,0,0,0.2494834
3398,1,1,0,0.438028
6017,1,1,0,0.32548803
5142,1,1,0,0.6374482
640,0,1,1,1.238657
1599,1,1,0,0.25393835
6932,1,1,0,0.24164353
11716,1,1,0,0.33057922
6510,1,1,0,0.37378615
16213,0,0,0,0.22130936
16170,0,0,0,0.2578437
13741,0,1,1,2.0457578
2956,0,1,1,1.3595324
10269,0,0,0,0.2357353
2274,0,0,0,0.3669424
9043,0,0,0,0.20893972
1768,0,1,1,1.6179222
14136,0,0,0,0.5334728
11396,0,0,0,0.59803456
9195,1,1,0,0.1481991
3974,0,0,0,0.38312218
12982,0,0,0,1.0230104
10041,1,1,0,0.26334623
10210,0,0,0,0.34184158
13277,1,1,0,0.10915875
13520,1,1,0,0.26944897
15896,0,0,0,0.13547437
1255,1,0,1,1.1820927
9008,0,0,0,0.4709376
3239,1,1,0,0.12836434
7613,0,0,0,0.11263958
14583,0,0,0,0.19529742
16395,0,0,0,0.24959497
9868,0,1,1,1.6821938
12976,1,1,0,0.2502541
11818,1,1,0,0.10163481
11202,1,1,0,0.19447483
12477,0,0,0,0.24135609
13870,0,1,1,1.6955202
5606,1,1,0,0.2703702
12312,1,0,1,1.7804421
9380,0,1,1,1.4624101
1313,0,1,1,1.593417
14731,0,1,1,1.5371163
10150,0,0,0,0.3992917
1977,0,0,0,0.30480102
9375,1,1,0,0.79385287
2895,1,1,0,0.98060375
13628,0,0,0,0.14267065
13153,1,0,1,0.3794119
1049,0,0,0,0.13180104
4605,0,0,0,0.13310838
9311,1,1,0,0.17406414
8203,0,0,0,0.32188928
2891,0,0,0,0.2076858
2603,0,0,0,0.17669602
11290,1,0,1,1.5014893
796,1,0,1,0.8577721
1868,1,1,0,0.4321702
7979,0,0,0,0.23304313
5201,0,0,0,0.2000202
4511,0,0,0,0.16185048
3722,1,1,0,0.1322802
16444,0,0,0,0.25435996
8320,0,0,0,0.29600698
1245,0,1,1,0.8241116
13836,1,0,1,0.85229427
4942,0,1,1,1.4253886
8762,0,0,0,0.18230112
4634,0,0,0,0.23260394
3496,0,0,0,0.2974822
860,0,1,1,1.2598109
5872,1,1,0,0.40807208
141,1,1,0,0.16382293
13826,1,1,0,0.35954478
3737,0,0,0,0.15911323
7918,0,0,0,0.22803974
5589,0,0,0,0.42883295
16459,0,0,0,0.21565527
4201,0,0,0,0.29705006
14141,1,1,0,0.8405158
6661,0,0,0,0.23816553
3289,0,0,0,0.369568
11850,0,0,0,0.17038615
4372,0,0,0,0.25441068
5108,0,0,0,0.24229996
5730,0,0,0,0.2558557
3006,0,0,0,0.33161148
7523,1,1,0,0.30830216
5540,1,1,0,0.4984574
4165,0,0,0,0.2365235
896,0,0,0,0.29164845
8786,0,1,1,1.4379905
5161,0,0,0,0.35768208
13699,1,1,0,0.8881439
13345,0,0,0,0.20827033
7923,0,0,0,0.39050096
1828,1,0,1,1.5868617
13721,1,0,1,1.8868291
15255,0,0,0,0.15985821
1311,1,1,0,0.25428253
13778,0,0,0,0.23832315
7829,0,0,0,0.42486128
5743,1,1,0,0.21254182
11527,0,0,0,0.23752329
8409,1,1,0,0.2756834
10896,0,0,0,0.19414316
7782,1,1,0,0.12460034
7312,1,1,0,0.26226956
1959,0,0,0,0.53576434
