Train_ID,Clean_Label,Noisy_Label,is_noisy,Training_Loss
12161,1,1,0,0.2370242
5633,1,1,0,0.14863133
10987,1,1,0,0.3110042
4264,1,1,0,0.24934396
8390,1,1,0,0.19799797
4304,0,0,0,0.13213648
976,0,0,0,0.38006064
10217,1,1,0,0.24291585
10423,0,0,0,0.29993698
10525,1,0,1,1.7657377
11817,0,0,0,0.11484672
3814,0,1,1,2.2235484
1361,1,1,0,0.18752435
11003,0,1,1,1.3765359
14237,0,0,0,0.44751775
108,0,0,0,0.23517331
11648,1,1,0,0.3008421
945,0,0,0,0.581672
14198,1,1,0,0.29116318
13474,0,0,0,0.31446463
1126,0,0,0,0.07673909
5210,0,0,0,0.29280394
11695,1,1,0,0.13604689
2748,1,1,0,0.19096388
7590,0,0,0,0.17921913
10376,1,1,0,0.23789437
686,1,1,0,0.37260714
14857,1,1,0,0.19121763
14668,1,1,0,0.14633007
7366,0,0,0,0.31194693
15781,0,0,0,0.16653301
13070,1,0,1,1.1703569
9807,1,1,0,0.20852903
2912,1,1,0,0.18266924
6699,0,1,1,1.5478805
6012,0,1,1,1.6436563
12146,0,0,0,0.17794101
16307,1,0,1,1.6916534
7887,1,1,0,0.13279986
12738,1,0,1,1.2290292
8676,0,0,0,0.18487784
8212,1,1,0,0.2045671
8558,1,1,0,0.14043134
10529,1,1,0,0.16642016
8728,1,0,1,1.0743006
726,0,0,0,0.12615958
15588,0,0,0,0.07396046
7990,1,0,1,1.1006236
7557,0,0,0,0.22732331
15697,0,1,1,1.7571537
15796,0,0,0,0.19189306
14922,1,1,0,0.42152008
6747,0,0,0,0.28425598
7268,0,0,0,0.46586365
115,1,1,0,0.18189393
7637,0,1,1,1.6728933
12023,0,0,0,0.7312677
10638,1,1,0,0.39099833
12083,0,0,0,0.28548574
1883,0,0,0,0.39431584
11085,1,1,0,0.22069122
13606,1,1,0,0.32945672
6146,1,0,1,1.3785071
15617,1,1,0,0.3056544
6885,1,0,1,1.4640014
3637,1,1,0,0.32785428
5555,1,0,1,0.88402927
5085,1,1,0,0.08344026
12470,1,1,0,0.19819666
1895,0,0,0,0.12082972
7891,1,1,0,0.13033105
1994,1,1,0,0.88134915
6187,1,1,0,0.31383204
14651,0,1,1,1.6496147
9110,0,0,0,0.17626354
10166,1,1,0,0.3087329
308,0,0,0,0.30688858
8651,0,0,0,0.15943456
231,1,1,0,0.2873685
985,0,0,0,0.16050123
16223,1,0,1,1.5050955
3963,0,0,0,0.3324202
7087,0,0,0,0.21321395
6850,0,0,0,0.3587337
