features/carat,features/clarity,features/color,features/cut,features/depth,features/table,features/x,features/y,features/z,label,id
0.54,5,3,4,61.4,55.0,5.28,5.31,3.25,1,53441
0.5,5,3,4,62.3,56.0,5.05,5.09,3.16,0,53442
0.41,5,5,4,61.6,55.0,4.78,4.8,2.95,0,53443
0.44,6,5,3,61.5,58.0,4.95,4.87,3.02,0,53444
0.5,2,1,3,62.3,60.0,5.16,5.08,3.19,0,53445
0.25,5,0,2,61.3,59.0,4.07,4.12,2.51,0,53446
0.37,3,3,3,61.3,60.0,4.6,4.63,2.83,0,53447
1.51,4,3,4,61.7,54.0,7.36,7.41,4.56,1,53448
0.71,3,3,2,63.1,54.0,5.64,5.7,3.58,1,53449
0.9,2,1,1,63.8,56.0,6.09,6.17,3.91,1,53450
0.37,5,0,4,62.4,56.0,4.56,4.64,2.87,0,53451
0.3,3,2,4,61.1,56.0,4.36,4.38,2.67,0,53452
0.96,1,2,0,68.2,61.0,6.07,5.88,4.1,1,53453
1.08,3,3,4,62.1,57.0,6.54,6.57,4.07,1,53454
0.51,2,0,2,60.0,58.0,5.19,5.24,3.13,0,53455
0.62,3,5,2,60.7,57.3,5.48,5.52,3.33,0,53456
0.7,5,2,4,61.9,55.0,5.72,5.68,3.53,1,53457
0.57,3,0,4,61.8,56.0,5.31,5.34,3.29,0,53458
0.29,5,0,2,59.1,61.0,4.33,4.37,2.57,0,53459
0.31,4,2,4,61.4,55.0,4.39,4.4,2.7,0,53460
0.9,4,4,2,63.0,55.0,6.18,6.13,3.88,1,53461
0.56,1,0,4,61.0,57.0,5.3,5.34,3.24,0,53462
0.52,3,1,4,62.6,57.0,5.09,5.17,3.21,0,53463
2.0,1,5,0,65.0,57.0,8.01,7.96,5.19,1,53464
0.4,5,2,3,60.7,58.0,4.7,4.75,2.87,0,53465
1.01,3,3,4,59.8,61.0,6.51,6.54,3.9,1,53466
1.02,3,5,3,61.1,59.0,6.4,6.37,3.9,1,53467
1.7,2,4,4,62.2,53.0,7.67,7.6,4.75,1,53468
0.71,5,5,2,61.9,58.0,5.72,5.75,3.55,0,53469
0.71,2,2,3,60.4,58.0,5.8,5.83,3.51,0,53470
2.04,1,4,4,61.2,56.0,8.19,8.25,5.03,1,53471
0.41,7,4,4,61.8,55.0,4.76,4.79,2.95,0,53472
0.35,3,2,4,62.1,56.0,4.57,4.54,2.83,0,53473
0.31,3,2,3,62.7,59.0,4.34,4.3,2.71,0,53474
0.34,7,2,4,61.7,55.0,4.49,4.52,2.78,0,53475
1.01,1,0,3,58.9,59.0,6.54,6.49,3.84,1,53476
0.55,6,0,3,60.3,59.0,5.34,5.3,3.21,1,53477
0.34,2,1,3,60.3,57.0,4.56,4.53,2.74,0,53478
1.52,1,4,3,62.0,58.0,7.37,7.34,4.56,1,53479
0.31,3,4,2,58.9,61.0,4.43,4.46,2.62,0,53480
0.57,2,1,4,62.1,56.0,5.3,5.33,3.3,0,53481
1.02,1,2,3,61.5,58.0,6.42,6.49,3.97,1,53482
1.28,2,4,4,62.4,56.0,6.93,6.91,4.32,1,53483
0.54,3,2,4,60.1,56.0,5.28,5.31,3.18,0,53484
0.51,5,3,4,62.0,57.0,5.13,5.1,3.17,0,53485
2.21,1,4,3,61.3,60.0,8.35,8.33,5.11,1,53486
0.3,1,1,1,63.5,55.0,4.27,4.3,2.72,0,53487
0.4,5,2,4,61.1,57.0,4.8,4.73,2.91,0,53488
0.3,5,3,4,61.1,58.0,4.33,4.35,2.65,0,53489
0.41,6,3,4,62.0,56.0,4.8,4.78,2.97,0,53490
0.82,1,1,4,62.2,57.0,6.0,5.97,3.72,1,53491
0.31,3,0,2,61.6,55.0,4.37,4.4,2.7,0,53492
0.44,3,0,1,63.6,56.0,4.81,4.84,3.07,0,53493
0.54,3,0,4,62.6,57.0,5.24,5.18,3.26,0,53494
1.06,2,0,4,62.7,54.0,6.55,6.52,4.1,1,53495
1.27,3,4,3,61.1,58.0,6.96,6.88,4.23,1,53496
0.91,2,3,4,62.0,56.0,6.19,6.22,3.85,1,53497
1.7,3,6,4,62.5,57.0,7.6,7.63,4.76,1,53498
1.09,2,0,4,62.8,54.0,6.6,6.62,4.15,1,53499
0.33,6,0,4,61.0,55.0,4.47,4.52,2.74,0,53500
0.31,3,0,4,60.4,56.0,4.42,4.39,2.66,0,53501
0.3,5,3,3,60.8,58.0,4.34,4.38,2.65,0,53502
0.64,2,1,4,60.9,57.0,5.56,5.58,3.39,0,53503
0.56,5,4,2,59.8,57.0,5.39,5.48,3.25,0,53504
0.51,4,2,2,63.3,59.0,5.09,5.12,3.23,0,53505
1.01,2,5,2,63.1,57.0,6.32,6.36,4.0,1,53506
0.32,3,0,4,62.6,57.0,4.41,4.37,2.75,0,53507
0.86,2,3,2,62.9,55.0,6.04,6.08,3.81,1,53508
0.72,2,5,3,60.8,58.0,5.83,5.78,3.53,0,53509
0.7,2,0,2,63.5,58.0,5.61,5.64,3.57,1,53510
0.31,2,1,2,63.4,55.0,4.33,4.31,2.74,0,53511
0.9,3,2,1,62.8,58.0,6.04,6.09,3.81,1,53512
0.65,3,1,1,57.8,61.2,5.72,5.78,3.32,1,53513
