Train_ID,Clean_Label,Noisy_Label,is_noisy,Training_Loss
1,1,0,1,1.6397731
2,1,1,0,0.56039155
3,0,0,0,0.4039477
4,1,1,0,0.17582679
5,0,0,0,0.22692335
6,0,0,0,0.4763374
7,0,0,0,0.5687743
8,1,1,0,0.14332211
9,1,1,0,0.43132952
10,1,1,0,0.21126768
11,0,0,0,0.15554401
12,1,1,0,0.28109592
13,1,1,0,0.38393873
14,1,1,0,0.16879977
15,0,0,0,0.19274597
16,1,1,0,0.5041216
17,1,1,0,0.24857008
18,0,0,0,0.20070288
19,0,1,1,1.7411145
20,0,0,0,0.32030785
21,1,1,0,0.20909731
22,0,0,0,0.4649006
23,0,0,0,0.24238941
24,0,0,0,0.45722228
25,0,0,0,0.23067991
26,0,0,0,0.31336465
27,0,1,1,1.7251121
28,0,0,0,0.23309581
29,0,1,1,0.88636905
30,1,0,1,0.871946
31,1,1,0,0.19692947
32,0,0,0,0.37127745
33,0,0,0,0.37833446
34,1,1,0,0.20162101
35,0,0,0,0.20246449
36,0,0,0,0.3214049
37,0,0,0,0.43305936
38,1,1,0,0.33287644
39,0,1,1,1.6692133
40,0,0,0,0.26815093
41,0,1,1,1.7444746
42,0,0,0,0.2962258
43,1,1,0,0.25460595
44,0,0,0,0.18307194
45,1,1,0,0.6082272
46,1,1,0,0.52588665
47,1,0,1,1.6545466
48,1,0,1,0.8475005
49,1,1,0,0.12920561
50,1,1,0,0.2059937
51,0,0,0,0.3634632
52,0,0,0,0.19992836
53,1,1,0,0.22285473
54,0,0,0,0.17715296
55,0,1,1,1.439425
56,1,1,0,0.5456866
57,1,1,0,0.3063115
58,1,1,0,0.73100483
59,0,0,0,0.4456533
60,1,1,0,0.2749514
61,1,1,0,0.2626767
62,0,0,0,0.80669016
63,0,1,1,1.8263531
64,1,0,1,1.0730605
65,0,1,1,1.9148644
66,0,0,0,0.18147634
67,0,0,0,0.20328481
68,1,1,0,0.20531648
69,0,0,0,0.22296472
70,1,1,0,0.2832444
71,0,0,0,0.23113489
72,1,1,0,0.77167064
73,0,1,1,1.2669885
74,0,0,0,0.3123979
75,1,1,0,0.5285853
76,1,0,1,0.82058275
77,0,0,0,0.26176533
78,0,0,0,0.19424261
79,1,1,0,0.29851592
80,1,0,1,1.4940331
81,0,0,0,0.25059068
82,0,0,0,0.21066067
83,1,1,0,0.28073624
84,1,1,0,0.24089365
85,0,0,0,0.15244126
86,0,1,1,1.6433014
87,1,0,1,1.6175324
88,1,1,0,0.4752702
89,0,1,1,1.497485
90,0,0,0,0.22708797
91,0,0,0,0.20110609
92,0,0,0,0.2605969
93,1,1,0,0.30469948
94,0,0,0,0.46076733
95,0,0,0,0.23038882
96,1,1,0,0.7725595
97,0,0,0,0.428861
98,1,1,0,0.16251948
99,1,1,0,0.30853713
100,1,0,1,2.21618
101,1,1,0,0.23554385
102,0,0,0,0.3183234
103,1,1,0,0.88640475
104,0,0,0,0.2083467
105,0,0,0,0.18673411
106,0,0,0,0.21029964
107,1,1,0,0.39288893
108,0,0,0,0.23851693
109,0,0,0,0.25947583
110,0,0,0,0.30581552
111,1,1,0,0.15824994
112,1,0,1,1.4893093
113,0,0,0,0.27348754
114,1,1,0,0.23838037
115,0,0,0,0.28733525
116,0,1,1,1.31298
117,0,0,0,0.3190891
118,0,0,0,0.437858
119,0,1,1,1.2027495
120,1,1,0,0.24355529
121,1,1,0,0.17886272
122,0,0,0,0.14767228
123,1,1,0,0.13816604
124,0,0,0,0.27951315
125,0,0,0,0.22032577
126,0,0,0,0.24008845
127,1,1,0,0.85088545
128,1,1,0,0.23569134
129,1,1,0,0.16541408
130,0,1,1,1.7882023
131,0,0,0,0.1663367
132,1,1,0,0.16955349
133,0,0,0,0.25916642
134,1,1,0,0.13546792
135,1,1,0,0.6029663
136,0,0,0,0.23284782
137,0,0,0,0.18867727
138,1,0,1,1.174376
139,1,0,1,1.7943236
140,1,1,0,0.8598583
141,0,0,0,0.35996786
142,1,1,0,0.3165609
143,1,1,0,0.17051332
144,1,1,0,0.795654
145,0,0,0,0.15660463
146,1,1,0,0.46523756
147,0,0,0,0.282358
148,1,0,1,1.8883969
149,1,1,0,0.16196881
150,0,0,0,0.1453886
151,1,1,0,0.31594875
152,0,0,0,0.31464583
153,1,1,0,0.11626109
154,1,1,0,0.2379547
155,1,1,0,0.29036367
156,0,1,1,1.8280746
157,1,1,0,0.83077425
158,0,0,0,0.307696
159,1,0,1,1.8732365
160,1,1,0,0.16914137
161,0,1,1,1.5461745
162,1,1,0,0.25944173
163,0,0,0,0.19017725
164,1,1,0,0.20474285
165,1,1,0,0.28750318
166,0,0,0,0.3623751
167,0,0,0,0.23089863
168,0,1,1,1.5427493
169,1,0,1,1.4079838
170,0,0,0,0.23802423
171,1,0,1,1.4844816
172,0,0,0,0.1529439
173,0,0,0,0.21437317
174,0,0,0,0.19863716
175,1,1,0,0.18239391
176,0,0,0,0.23108116
177,1,1,0,0.19435737
178,0,0,0,0.2219687
179,0,0,0,0.18646783
180,0,0,0,0.26007646
181,0,0,0,0.36438766
182,0,0,0,0.15991886
183,1,1,0,0.17484182
184,1,1,0,0.14687183
185,0,1,1,1.101294
186,0,1,1,1.5403924
187,0,0,0,0.34295252
188,0,1,1,1.5146705
189,0,0,0,0.20766401
190,0,0,0,0.257436
191,1,1,0,0.17092265
192,0,1,1,1.2999272
193,0,0,0,0.19665718
194,1,0,1,1.5869378
195,1,0,1,1.2945266
196,1,1,0,0.50664747
197,1,1,0,0.2881351
198,0,0,0,0.32078344
199,0,0,0,0.16188486
200,0,0,0,0.2533269
201,1,1,0,0.15039618
202,0,0,0,0.20462036
203,0,0,0,0.19468553
204,0,0,0,0.15766586
205,0,0,0,0.2836511
206,1,0,1,1.4759889
207,1,1,0,0.2379206
208,0,1,1,1.0534642
209,0,1,1,1.4007852
210,0,0,0,0.54445106
211,1,1,0,0.12724121
212,0,0,0,0.22406848
213,1,1,0,0.22367394
214,0,0,0,0.19291691
215,1,1,0,0.43522733
216,1,1,0,0.8336503
217,0,1,1,1.6248677
218,1,1,0,0.371643
219,1,1,0,0.4355683
220,0,0,0,0.37653595
221,1,0,1,0.80246514
222,0,0,0,0.19554274
223,1,1,0,0.41236413
224,0,0,0,0.19186914
225,0,0,0,0.25978306
226,0,0,0,0.33893892
227,1,1,0,0.72573394
228,0,0,0,0.5589521
229,1,1,0,0.2052697
230,0,1,1,1.8968796
231,1,0,1,1.1608514
232,1,1,0,0.19211245
233,1,0,1,1.3201177
234,1,1,0,0.7577875
235,0,1,1,1.597338
236,0,0,0,0.16078264
237,0,1,1,1.8776971
238,0,1,1,1.1747143
239,0,0,0,0.52420545
240,1,0,1,1.7425876
241,1,0,1,1.1359204
242,1,1,0,0.40110958
243,0,0,0,0.6048989
244,1,1,0,0.2043723
245,1,1,0,0.21059239
246,0,0,0,0.14238678
247,1,0,1,1.6141529
248,1,1,0,0.15181169
249,0,0,0,0.3859596
250,1,1,0,0.13107091
251,0,0,0,0.20797631
252,0,0,0,0.18625689
253,0,1,1,1.370139
254,1,1,0,0.71357965
255,0,0,0,0.30118018
256,1,1,0,0.16987641
257,1,1,0,0.15355998
258,0,1,1,1.5578715
259,0,0,0,0.1928138
260,0,0,0,0.2049877
261,1,1,0,0.71963006
262,0,0,0,0.3170676
263,1,1,0,0.122593544
264,1,1,0,0.25293308
265,0,0,0,0.19793391
266,1,0,1,1.5076702
267,1,1,0,0.5863067
268,1,1,0,0.6629951
269,1,0,1,1.6861517
270,1,1,0,0.27094495
271,1,1,0,0.1352446
272,1,1,0,0.32623777
273,1,1,0,0.24545501
274,1,1,0,0.16737102
275,1,1,0,0.30995148
276,0,0,0,0.3208203
277,0,0,0,0.30522436
278,0,0,0,0.2226813
279,0,1,1,1.4689085
280,0,0,0,0.3271775
281,1,1,0,0.4131341
282,0,1,1,1.3791721
283,1,1,0,0.4804827
284,0,0,0,0.37514266
285,0,0,0,0.3217659
286,1,0,1,1.3297434
287,0,0,0,0.1685334
288,1,0,1,1.2273043
289,1,1,0,0.34707507
290,1,0,1,1.4771234
291,0,0,0,0.31669864
292,0,0,0,0.27744573
293,0,0,0,0.49704504
294,0,0,0,0.23518547
295,1,1,0,0.4096916
296,0,0,0,0.5174315
297,1,1,0,0.18394034
298,0,0,0,0.19151987
299,0,1,1,1.8498185
300,0,0,0,0.23745798
301,1,1,0,0.17123872
302,1,1,0,0.17892791
303,0,0,0,0.31458876
304,1,1,0,0.119076125
305,1,1,0,0.16716872
306,0,0,0,0.18159595
307,0,0,0,0.19243506
308,1,1,0,0.21840861
309,1,1,0,0.2656958
310,0,0,0,0.21461463
311,0,1,1,1.5924435
312,1,1,0,0.31116804
313,1,0,1,1.0914474
314,0,0,0,0.19778955
315,0,0,0,0.24341232
316,0,1,1,1.6460272
317,0,0,0,0.19976778
318,1,1,0,0.17778635
319,1,1,0,0.99547225
320,1,1,0,0.258502
321,0,0,0,0.28557283
322,0,0,0,0.3745612
323,1,1,0,0.12598713
324,1,0,1,2.0227408
325,0,0,0,0.30786094
326,0,0,0,0.1882062
327,1,1,0,0.28071472
328,0,0,0,0.20538503
329,1,1,0,0.20126411
330,1,0,1,1.628008
331,0,0,0,0.18419193
332,0,0,0,0.4229948
333,0,0,0,0.30530816
334,0,0,0,0.34606084
335,1,1,0,0.33340752
336,0,1,1,1.542031
337,0,0,0,0.21609342
338,0,1,1,1.6143048
339,1,1,0,0.1755433
340,1,1,0,0.33907127
341,1,1,0,0.22988462
342,0,0,0,0.18896605
343,1,1,0,0.19885841
344,1,1,0,0.51410735
345,1,0,1,1.4000021
346,0,0,0,0.18526551
347,0,0,0,0.27534586
348,0,0,0,0.23353139
349,1,1,0,0.1161159
350,0,0,0,0.19678369
351,0,0,0,0.18547368
352,1,1,0,0.33806834
353,0,1,1,1.0127723
354,1,1,0,0.143131
355,0,0,0,0.16747478
356,1,1,0,0.24416827
357,0,1,1,1.3173708
358,0,0,0,0.22232248
359,0,0,0,0.34290597
360,1,1,0,0.30940205
361,1,1,0,0.22781478
362,1,1,0,0.2900376
363,0,0,0,0.24217264
364,0,0,0,0.19385332
365,0,0,0,0.18053146
366,0,0,0,0.23034953
367,1,1,0,0.21479505
368,0,0,0,0.19568488
369,0,1,1,1.6206129
370,0,0,0,0.32378983
371,1,1,0,0.42745736
372,0,0,0,0.2075318
373,0,1,1,1.5827994
374,1,1,0,0.2930456
375,1,0,1,0.8606241
376,0,0,0,0.23511876
377,1,1,0,0.1905055
378,1,1,0,0.31249478
379,0,0,0,0.22343133
380,0,0,0,0.49131072
381,1,1,0,0.08514773
382,1,1,0,0.1309721
383,1,0,1,1.9520899
384,1,1,0,0.18612637
385,1,0,1,1.7518265
386,0,0,0,0.46624565
387,1,1,0,0.64250284
388,0,0,0,0.18862791
389,1,0,1,1.0397223
390,0,0,0,0.20594199
391,0,0,0,0.32950303
392,0,0,0,0.1793963
393,0,1,1,1.5273929
394,1,1,0,0.11157211
395,1,1,0,0.2566868
396,0,0,0,0.24499063
397,1,1,0,0.24208272
398,1,1,0,0.24636689
399,0,1,1,1.3220345
400,0,0,0,0.27494487
401,1,1,0,0.2472895
402,0,1,1,0.996348
403,0,0,0,0.2135802
404,1,1,0,0.39084825
405,1,1,0,0.22117256
406,0,0,0,0.16718183
407,1,1,0,0.4495759
408,0,1,1,1.2641727
409,1,1,0,0.26419744
410,1,1,0,0.20030847
411,1,1,0,0.25376427
412,0,0,0,0.47021723
413,0,0,0,0.29536805
414,1,0,1,1.7791593
415,0,1,1,1.9914142
416,1,1,0,0.15854023
417,0,0,0,0.2405386
418,0,0,0,0.30632612
419,1,1,0,0.6821259
420,1,0,1,1.8530596
421,0,0,0,0.19203454
422,0,0,0,0.19783612
423,0,0,0,0.2044031
424,0,1,1,1.7285463
425,0,0,0,0.20731662
426,0,0,0,0.18961152
427,0,0,0,0.1713935
428,0,1,1,1.5968708
429,1,1,0,0.22867024
430,0,0,0,0.31994936
431,1,1,0,0.20038517
432,1,1,0,0.5432909
433,1,1,0,0.26105538
434,1,1,0,0.1389629
435,1,1,0,0.38989234
436,1,1,0,0.9342216
437,1,1,0,0.39675915
438,1,1,0,0.29426125
439,0,1,1,1.5041945
440,0,0,0,0.268146
441,0,0,0,0.16961999
442,0,0,0,0.27666056
443,0,0,0,0.23180175
444,0,1,1,1.5767382
445,0,0,0,0.51293474
446,0,0,0,0.28859675
447,1,0,1,1.7918053
448,1,1,0,0.702014
449,0,0,0,0.2165354
450,1,1,0,0.34151253
451,1,1,0,0.7079559
452,1,1,0,0.18527481
453,0,0,0,0.18835977
454,0,0,0,0.30405894
455,0,0,0,0.3190644
456,0,0,0,0.23925246
457,0,0,0,0.16822435
458,0,0,0,0.16868176
459,1,1,0,0.27947807
460,1,1,0,0.39336565
461,0,1,1,1.7333357
462,1,1,0,0.14155509
463,0,0,0,0.2190847
464,0,0,0,0.27700186
465,0,0,0,0.2142455
466,1,1,0,0.1152544
467,0,0,0,0.19107318
468,1,1,0,0.55374837
469,0,0,0,0.26448894
470,1,1,0,0.70578027
471,1,0,1,1.255078
472,0,0,0,0.25503007
473,1,0,1,1.2988892
474,0,1,1,1.7905669
475,0,0,0,0.21963772
476,1,1,0,0.66473514
477,0,0,0,0.22032577
478,1,1,0,0.7267122
479,0,0,0,0.18434769
480,0,0,0,0.18664134
481,0,1,1,1.4488394
482,1,0,1,1.3176383
483,0,0,0,0.24110079
484,1,1,0,0.27389374
485,1,1,0,0.64540523
486,1,1,0,0.21727155
487,0,0,0,0.2338128
488,0,0,0,0.4762014
489,0,0,0,0.1798068
490,0,0,0,0.21740852
491,0,0,0,0.16472751
492,1,1,0,0.18669702
493,1,1,0,0.17991395
494,1,1,0,0.21193616
495,0,0,0,0.25560695
496,1,1,0,0.24047947
497,1,1,0,0.31344882
498,0,0,0,0.33012524
499,1,1,0,0.3777208
500,1,1,0,0.24613708
501,0,0,0,0.16711164
502,0,1,1,1.7508986
503,0,0,0,0.2274052
504,1,1,0,0.13715406
