features/carat,features/clarity,features/color,features/cut,features/depth,features/table,features/x,features/y,features/z,label,id,clean_label,is_noisy,noisy_label
1.26,2,4,2,60.6,60.0,6.97,7.0,4.23,0,1,1,1,0
0.8,3,4,4,62.1,54.0,5.96,5.99,3.71,1,2,1,0,1
0.56,4,2,4,61.7,54.0,5.28,5.32,3.27,0,3,0,0,0
1.51,3,6,1,64.0,58.0,7.24,7.27,4.64,1,4,1,0,1
0.33,6,5,4,62.2,54.0,4.43,4.45,2.76,0,5,0,0,0
0.66,4,3,1,59.6,60.2,5.66,5.71,3.38,0,6,0,0,0
0.78,1,4,4,61.9,54.0,5.89,5.85,3.63,0,7,0,0,0
2.01,3,5,4,66.7,56.0,7.75,7.65,5.14,1,8,1,0,1
0.8,1,1,4,61.0,55.0,6.0,6.03,3.67,1,9,1,0,1
1.65,2,6,2,61.7,56.0,7.61,7.66,4.71,1,10,1,0,1
0.2,3,1,2,63.4,59.0,3.74,3.71,2.36,0,11,0,0,0
1.06,2,3,4,60.5,57.0,6.64,6.59,4.0,1,12,1,0,1
0.9,2,1,1,63.5,55.0,6.12,6.22,3.92,1,13,1,0,1
2.01,2,4,4,60.6,57.0,8.19,8.09,4.92,1,14,1,0,1
0.32,2,5,2,63.5,57.0,4.33,4.3,2.74,0,15,0,0,0
1.02,1,6,2,62.6,60.0,6.39,6.42,4.01,1,16,1,0,1
1.0,4,2,4,61.7,55.0,6.42,6.39,3.95,1,17,1,0,1
0.37,3,1,3,60.6,58.0,4.65,4.62,2.81,0,18,0,0,0
0.31,3,3,3,62.2,59.0,4.35,4.3,2.69,1,19,0,1,1
0.53,2,1,2,63.6,57.0,5.12,5.16,3.27,0,20,0,0,0
1.11,1,1,2,60.0,61.0,6.66,6.71,4.01,1,21,1,0,1
0.71,2,3,2,62.1,58.0,5.68,5.72,3.54,0,22,0,0,0
0.3,7,1,3,61.9,58.0,4.26,4.3,2.65,0,23,0,0,0
0.73,3,6,4,62.3,55.0,5.74,5.78,3.59,0,24,0,0,0
0.3,7,2,4,61.8,55.0,4.32,4.35,2.68,0,25,0,0,0
0.5,3,0,3,62.8,58.0,5.08,5.05,3.18,0,26,0,0,0
0.36,4,2,4,60.1,56.0,4.65,4.69,2.8,1,27,0,1,1
0.31,7,3,4,61.7,55.0,4.37,4.39,2.7,0,28,0,0,0
0.59,6,3,4,61.5,57.0,5.36,5.4,3.31,1,29,0,1,1
0.71,3,1,4,62.9,55.0,5.76,5.72,3.61,0,30,1,1,0
1.02,6,1,2,60.2,60.0,6.39,6.54,3.89,1,31,1,0,1
0.6,1,0,3,61.3,61.0,5.46,5.4,3.33,0,32,0,0,0
0.51,5,3,1,63.7,54.0,5.08,5.1,3.24,0,33,0,0,0
1.7,3,6,3,61.0,59.0,7.66,7.62,4.66,1,34,1,0,1
0.3,4,3,3,62.0,60.0,4.31,4.27,2.66,0,35,0,0,0
0.56,3,3,4,62.0,56.0,5.3,5.28,3.28,0,36,0,0,0
0.7,2,3,2,60.7,58.0,5.7,5.73,3.47,0,37,0,0,0
1.03,4,4,3,59.2,58.0,6.66,6.61,3.92,1,38,1,0,1
0.3,4,3,3,62.9,60.0,4.22,4.18,2.64,1,39,0,1,1
0.54,1,3,4,62.3,58.0,5.17,5.2,3.23,0,40,0,0,0
0.31,4,3,3,61.2,59.0,4.35,4.37,2.67,1,41,0,1,1
0.52,3,1,4,61.7,56.0,5.16,5.21,3.2,0,42,0,0,0
1.0,3,3,3,62.0,57.0,6.43,6.37,3.97,1,43,1,0,1
0.32,3,6,3,61.9,58.0,4.35,4.38,2.7,0,44,0,0,0
0.71,1,0,4,61.0,56.0,5.77,5.8,3.53,1,45,1,0,1
0.9,2,3,1,64.2,58.0,6.01,6.04,3.87,1,46,1,0,1
1.6,4,6,4,62.1,57.0,7.46,7.54,4.66,0,47,1,1,0
