Train_ID,Clean_Label,Noisy_Label,is_noisy,Training_Loss
1,1,1,0,0.2736892
2,1,1,0,0.72716916
3,1,1,0,0.59231955
4,1,1,0,0.2736892
5,1,1,0,0.2736892
6,0,0,0,0.45418635
7,0,0,0,0.7575683
8,1,1,0,0.2736892
9,0,0,0,0.581714
10,1,0,1,1.4294877
11,0,0,0,1.6136074
12,0,1,1,1.3864526
13,1,1,0,0.8209059
14,0,1,1,1.3864096
15,1,1,0,0.856194
16,0,0,0,0.2876128
17,0,0,0,0.2876237
18,0,0,0,0.54271317
19,1,1,0,0.2736892
20,0,0,0,0.28762934
21,1,1,0,0.7337611
22,0,0,0,0.28760135
23,0,0,0,0.6038322
24,0,0,0,0.28761852
25,1,1,0,0.65579456
26,1,1,0,0.2736892
27,0,0,0,0.2876061
28,1,1,0,0.2736892
29,1,1,0,0.6771977
30,1,1,0,0.2736892
31,1,1,0,0.2736892
32,0,1,1,0.7472607
33,0,0,0,0.28757882
34,1,1,0,0.2736892
35,1,0,1,0.58584213
36,1,0,1,1.4294877
37,1,1,0,0.2736892
38,0,1,1,1.3864731
39,0,0,0,0.7727978
40,0,1,1,1.3864033
41,0,0,0,0.68509024
42,1,1,0,1.1162645
43,1,1,0,0.69286436
44,1,1,0,0.5860887
45,0,1,1,1.3864527
46,1,1,0,0.2148138
47,1,1,0,0.5611941
48,1,0,1,0.9350119
49,1,1,0,0.2736892
50,0,1,1,1.3865107
51,0,0,0,0.6960802
52,1,1,0,0.2736892
53,0,0,0,0.28763756
54,0,0,0,0.9798922
55,0,0,0,0.5983669
56,1,0,1,1.4294877
57,0,0,0,0.962649
58,0,0,0,0.28762728
59,1,1,0,0.8854943
60,0,0,0,0.28765768
61,0,0,0,0.2876017
62,1,1,0,0.2736892
63,0,1,1,1.3864694
64,0,0,0,0.7031905
65,1,0,1,1.4294877
66,1,1,0,0.2736892
67,1,0,1,1.087148
68,1,1,0,0.2736892
69,1,1,0,0.2736892
70,1,1,0,1.3165216
71,1,1,0,0.2736892
72,1,1,0,0.69787705
73,1,1,0,0.2736892
74,0,1,1,0.748958
75,1,1,0,0.2736892
76,1,1,0,0.2736892
77,1,1,0,0.2736892
78,0,0,0,0.28760046
79,0,0,0,0.53754705
80,1,1,0,0.2736892
81,0,1,1,0.8164611
82,0,0,0,0.6954336
83,1,1,0,0.7555315
84,0,0,0,0.5821036
85,1,1,0,0.90524197
86,0,0,0,0.5925127
87,0,0,0,0.75917596
88,0,1,1,1.3864719
89,1,0,1,1.4294877
90,0,0,0,0.79079026
91,0,0,0,0.6839918
92,1,1,0,0.66907
93,1,1,0,0.2736892
95,1,1,0,0.79132503
96,0,1,1,0.7301732
97,1,1,0,0.86484134
98,0,0,0,0.2876264
99,1,1,0,0.2736892
100,1,1,0,0.2736892
101,0,0,0,0.28763103
102,0,0,0,0.28763354
103,1,1,0,0.85911787
104,1,1,0,0.2736892
105,0,0,0,0.8301512
106,1,0,1,0.7539213
107,0,1,1,0.806635
108,1,1,0,0.2736892
109,1,1,0,0.2736892
110,0,0,0,0.8676074
111,0,1,1,0.7297603
112,1,1,0,0.43158096
113,1,1,0,0.2736892
114,0,0,0,0.28761503
115,1,1,0,0.31110683
116,0,1,1,0.77827406
118,0,0,0,0.28761432
119,0,0,0,0.6165089
120,0,0,0,0.28763103
121,0,0,0,0.2875958
122,1,1,0,1.1516271
123,0,0,0,0.28761315
124,1,1,0,0.2736892
125,1,0,1,1.1661022
127,0,0,0,0.53542817
128,1,1,0,0.93683505
129,1,1,0,0.95428926
130,1,1,0,0.7580554
131,1,1,0,0.58005005
132,1,1,0,0.2736892
133,0,1,1,1.3864577
135,1,1,0,0.8769978
136,0,0,0,0.45095485
137,0,0,0,0.28762066
138,0,0,0,0.49917364
139,1,1,0,0.2736892
140,0,0,0,0.2876373
141,0,0,0,0.28761074
142,1,0,1,1.4294877
143,0,0,0,0.28761807
144,1,1,0,0.81714284
145,0,0,0,0.28761414
146,1,1,0,0.2736892
147,1,1,0,0.17326792
148,0,0,0,0.28761682
149,1,0,1,0.66644686
150,1,1,0,0.2736892
151,0,1,1,0.87367344
152,1,1,0,0.2736892
153,1,1,0,0.84553033
154,0,1,1,1.3864666
