Train_ID,Score
881,0.0001208956164191477
687,9.871457586996257e-05
465,9.577265154803172e-05
1657,7.662814823561348e-05
667,7.47077829146292e-05
706,7.300221113837324e-05
156,7.168406955315731e-05
1323,7.137664761103224e-05
956,6.800342089263722e-05
1378,6.750851389369927e-05
1725,6.298427615547553e-05
1658,6.26547662250232e-05
350,5.951719867880456e-05
654,5.802910709462594e-05
494,5.7726321756490506e-05
133,5.722055539081339e-05
1739,5.566028266912326e-05
329,5.5632614021305926e-05
730,5.5619100749026984e-05
383,5.453412995848339e-05
1264,5.412570317275822e-05
741,5.365584001992829e-05
605,5.338497430784628e-05
95,5.3288504204829223e-05
248,5.303784018906299e-05
1963,5.2468993089860305e-05
1889,5.1800561777781695e-05
1494,5.168137613509316e-05
917,5.0005357479676604e-05
1497,4.9366602979716845e-05
576,4.9097170631284826e-05
237,4.8867201257962734e-05
1546,4.6949131501605734e-05
1385,4.678970799432136e-05
1974,4.654726944863796e-05
1396,4.6446750275208615e-05
1848,4.6002880480955355e-05
900,4.522314702626318e-05
1501,4.502337014855584e-05
365,4.396022268338129e-05
1341,4.390975482237991e-05
921,4.341184558143141e-05
1518,4.3006721170968376e-05
668,4.267388067091815e-05
1165,4.2221809053444304e-05
648,4.180672476650216e-05
1397,4.02333025704138e-05
1582,3.96758368879091e-05
1523,3.9531618313048966e-05
1061,3.937984547519591e-05
197,3.890601692546625e-05
925,3.848247251880821e-05
262,3.839850796794053e-05
1838,3.831274443655275e-05
1458,3.827253385679796e-05
1605,3.803057916229591e-05
715,3.740305510291364e-05
703,3.7007876017014496e-05
1386,3.69914105249336e-05
276,3.680537156469654e-05
1865,3.678686516650487e-05
914,3.675061998364981e-05
1620,3.668574208859354e-05
1511,3.652143095678184e-05
1016,3.6001871194457635e-05
1407,3.6001645639771596e-05
517,3.592533721530344e-05
1431,3.583576653909404e-05
1578,3.5685961847775616e-05
1289,3.548751283233287e-05
1303,3.5433837183518335e-05
46,3.528672823449597e-05
1652,3.518191442708485e-05
1662,3.4818613130482845e-05
1841,3.458701030467637e-05
582,3.44543677783804e-05
1790,3.4145642530347686e-05
758,3.397417822270654e-05
1959,3.386308435437968e-05
1361,3.293337795184925e-05
1970,3.292725705250632e-05
1996,3.2757449844211806e-05
351,3.26938370562857e-05
84,3.2601700695522595e-05
871,3.257912248955108e-05
1441,3.256090531067457e-05
1238,3.24616567013436e-05
1280,3.229844969609985e-05
639,3.218818528694101e-05
1665,3.190843835909618e-05
520,3.1807314371690154e-05
782,3.1705297260486986e-05
264,3.1181271879177075e-05
1008,3.114772880508099e-05
1409,3.100660524069099e-05
1919,3.090528662141878e-05
1276,3.0893838811607566e-05
191,3.084872787439963e-05
1164,3.077171822951641e-05
1715,3.0672431421407964e-05
751,3.0457437787845265e-05
534,3.030262450920418e-05
1544,3.027503043995239e-05
1228,3.012255547218956e-05
461,3.0000916012795642e-05
434,2.9628220545419026e-05
708,2.9272953725012485e-05
1667,2.924103864643257e-05
299,2.9234633984742686e-05
1428,2.91786736852373e-05
791,2.9071579774608836e-05
215,2.877586848626379e-05
1113,2.8639119591389317e-05
363,2.8629039661609568e-05
895,2.8219282285135705e-05
1239,2.8131777071394026e-05
1622,2.8019147976010572e-05
1222,2.7995340133202262e-05
296,2.7994101401418447e-05
1574,2.7927360861212946e-05
255,2.7599345230555627e-05
172,2.7410595066612586e-05
952,2.7347143259248696e-05
15,2.7266537472314667e-05
1514,2.7120016056869645e-05
723,2.7085939109383617e-05
978,2.7069490897702053e-05
697,2.7040873646910768e-05
1915,2.700743243622128e-05
621,2.6891756533586886e-05
857,2.684024912014138e-05
1281,2.6519790480961092e-05
1876,2.634625525388401e-05
1522,2.634168959048111e-05
1550,2.6188225092482753e-05
1330,2.618161033751676e-05
1829,2.5941917556338012e-05
514,2.5848412406048737e-05
1040,2.5808834834606387e-05
125,2.5512452339171432e-05
1302,2.549975488363998e-05
162,2.49280374191585e-05
183,2.491467421350535e-05
1825,2.4901487449824344e-05
231,2.4764641239016782e-05
967,2.4582525838923175e-05
459,2.451162890793057e-05
969,2.4391441002080683e-05
535,2.4350678359041922e-05
1488,2.4254069103335496e-05
1930,2.422624584141886e-05
1463,2.418274016235955e-05
176,2.4051806576608215e-05
1036,2.4018549993343186e-05
393,2.386396226938814e-05
870,2.3801720089977607e-05
1318,2.3775238332746085e-05
120,2.362263694521971e-05
266,2.360800681344699e-05
1320,2.305054931639461e-05
928,2.298856998095289e-05
10,2.2945670934859663e-05
1819,2.28587887249887e-05
440,2.2835729396319948e-05
518,2.2720734705217183e-05
208,2.250343004561728e-05
1686,2.2420114873966668e-05
