Top K,FOIF Entropy,TracIn Entropy
10,0.759176003468815,0.759176003468815
50,0.924726362838083,0.9755649547002574
100,0.9628551619448423,0.9771671388523833
150,0.9772527483373056,0.982348079520739
200,0.9855741697973457,0.9850348544400275
250,0.989882220095987,0.9874123225756476
300,0.9899965406078002,0.9911228977043011
350,0.9915506772432231,0.9917395730950016
400,0.9958742611798913,0.9905588210793471
450,0.9964312629184502,0.9909039199946296
500,0.9959572068776258,0.991856466205373
