n,K,FOIF Entropy,TracIn Entropy
1,10,1.0,1.0
2,10,0.9709505944546688,0.8812908992306927
3,10,0.9911594714322187,0.9602297178607612
4,10,0.8609640474436813,0.9232196723355078
5,10,0.9349775297671233,0.9674887648835618
6,10,0.8690413667681064,0.8690413667681064
7,10,0.7733082046011861,0.8714392773956556
8,10,0.8154797815570053,0.8154797815570052
9,10,0.8348586617875465,0.7955797357161092
10,10,0.759176003468815,0.759176003468815
1,50,1.0,1.0
2,50,0.9709505944546688,0.9953784388202258
3,50,0.9929868938532104,0.9929868938532104
4,50,0.9982191267622337,0.9597395921444732
5,50,0.9816438986425302,0.9595327628307175
6,50,0.9435647789643824,0.9608171466385268
7,50,0.9759734538655954,0.9720981134417019
8,50,0.9684922780885022,0.9439764546826688
9,50,0.9003937383225994,0.9828192717048388
10,50,0.924726362838083,0.9755649547002574
1,100,1.0,1.0
2,100,0.9895875212220555,0.9895875212220555
3,100,0.9985619145786561,0.9929868938532104
4,100,0.9971082643043144,0.9932227282265212
5,100,0.9930434571923735,0.9946848437605872
6,100,0.9752604873094621,0.983689277716524
7,100,0.9900703300128354,0.980478478305869
8,100,0.9596816923734403,0.967122563046642
9,100,0.9688584010576713,0.9689920884504803
10,100,0.9628551619448423,0.9771671388523833
1,500,1.0,1.0
2,500,0.9988455359952018,0.9938858724897722
3,500,0.9992087791918663,0.996457539687877
4,500,0.9997086029163438,0.995656410234575
5,500,0.999481741163406,0.9971519245181231
6,500,0.9978506100654965,0.9950977541296933
7,500,0.9970378807234637,0.9954911836640603
8,500,0.9954624164802535,0.9946282515774999
9,500,0.9953617431370441,0.9940889837931348
10,500,0.9959572068776258,0.991856466205373
