Train_ID,Clean_Label,Noisy_Label,is_noisy,Training_Loss
1,0,0,0,0.0827184
2,1,1,0,0.14116935
3,1,1,0,0.30466536
4,1,1,0,0.599408
5,0,0,0,0.31545585
6,1,1,0,0.45613226
7,0,0,0,0.8086014
8,1,1,0,0.3940976
9,1,1,0,0.42817035
10,1,0,1,1.3287623
11,1,1,0,0.8185217
12,1,0,1,0.6224645
13,0,0,0,0.42372257
14,0,1,1,1.4741179
15,0,0,0,0.6158322
16,1,1,0,1.1902102
17,1,1,0,0.16191842
18,0,0,0,0.27590275
19,0,0,0,0.46810699
20,1,1,0,0.03830498
21,1,1,0,0.12454919
22,1,1,0,0.39983508
23,1,1,0,0.4271146
24,1,1,0,0.18471007
25,1,1,0,0.5394642
26,0,0,0,0.31349036
27,0,0,0,0.42869055
28,1,1,0,0.2452012
29,0,0,0,0.25668237
30,1,1,0,0.26083216
31,1,1,0,1.0514966
32,1,0,1,0.63604164
33,1,1,0,0.2485778
34,0,0,0,0.21191172
35,0,1,1,0.98739994
36,1,0,1,0.66559666
37,0,0,0,0.13033
38,1,0,1,2.452064
39,1,1,0,0.1575787
40,1,0,1,1.5715362
41,1,1,0,0.24034514
42,1,1,0,0.4756136
43,1,1,0,0.41218424
44,1,1,0,0.7157572
45,0,1,1,1.1593864
46,0,0,0,0.27969334
47,1,1,0,0.6166307
48,1,0,1,0.9286009
49,1,1,0,0.4963042
50,0,1,1,1.346351
51,1,1,0,0.1588953
52,1,1,0,0.020531507
53,1,1,0,0.16788286
54,1,1,0,0.6423182
55,0,0,0,0.6965389
56,1,0,1,1.6512002
57,1,1,0,0.947142
58,1,1,0,0.41667765
59,0,0,0,0.1463787
60,1,1,0,0.20395765
61,0,0,0,0.13888343
62,1,1,0,0.40093914
63,1,0,1,0.62842906
64,1,1,0,0.22016078
65,1,0,1,1.2215421
66,0,0,0,0.4703601
67,1,0,1,0.65346414
68,0,0,0,0.6549566
69,1,1,0,0.31891847
70,0,0,0,0.04207567
71,1,1,0,0.17039058
72,1,1,0,0.8324639
73,1,1,0,0.07188458
74,0,1,1,1.2848884
75,0,0,0,0.72009164
76,1,1,0,0.5805378
77,1,1,0,0.09727858
78,1,1,0,0.34240866
79,1,1,0,0.47639197
80,0,0,0,0.6585398
81,1,0,1,1.2931685
82,1,1,0,0.82133216
83,0,0,0,0.69041544
