Train_ID,Clean_Label,Noisy_Label,is_noisy,Training_Loss
1,1,1,0,0.25312653
2,1,1,0,0.72626615
3,1,1,0,0.7017616
4,1,1,0,0.25029632
5,1,1,0,0.25298905
6,0,0,0,0.65004736
7,0,0,0,0.7597967
8,1,1,0,0.25886676
9,0,0,0,0.22845843
10,1,0,1,1.5052267
11,0,0,0,0.8100835
12,0,1,1,1.6618544
13,1,1,0,0.8192726
14,0,1,1,1.6490798
15,1,1,0,0.5714074
16,0,0,0,0.22741203
17,0,0,0,0.22528045
18,0,0,0,0.41723582
19,1,1,0,0.24950431
20,0,0,0,0.22819108
21,1,1,0,0.87092704
22,0,0,0,0.22849856
23,0,0,0,1.1886029
24,0,0,0,0.22801185
25,1,1,0,0.20247325
26,1,1,0,0.24951935
27,0,0,0,0.22428778
28,1,1,0,0.2495183
29,1,1,0,0.9395876
30,1,1,0,0.2495176
31,1,1,0,0.2534156
32,0,1,1,1.3161638
33,0,0,0,0.22231588
34,1,1,0,0.2531542
35,1,0,1,1.1207467
36,1,0,1,1.5103527
37,1,1,0,0.24952993
38,0,1,1,1.5818527
39,0,0,0,0.45207417
40,0,1,1,1.6138395
41,0,0,0,0.7409124
42,1,1,0,0.4653435
43,1,1,0,1.1337378
44,1,1,0,0.17955798
45,0,1,1,1.6338537
46,1,1,0,0.29642648
47,1,1,0,0.32940432
48,1,0,1,1.0745152
49,1,1,0,0.25278303
50,0,1,1,1.5737722
51,0,0,0,0.41617596
52,1,1,0,0.25335354
53,0,0,0,0.23901518
54,0,0,0,0.24159636
55,0,0,0,0.44149277
56,1,0,1,1.5070043
57,0,0,0,0.61870825
58,0,0,0,0.2348546
59,1,1,0,0.24767749
60,0,0,0,0.23047958
61,0,0,0,0.21992275
62,1,1,0,0.2495317
63,0,1,1,1.5753013
64,0,0,0,0.44172975
65,1,0,1,1.5019805
66,1,1,0,0.25088698
67,1,0,1,0.94169194
68,1,1,0,0.25244957
69,1,1,0,0.2511501
70,1,1,0,1.1671973
71,1,1,0,0.24990235
72,1,1,0,1.3866177
73,1,1,0,0.25057018
74,0,1,1,0.84262
75,1,1,0,0.25192997
76,1,1,0,0.25156298
77,1,1,0,0.24950004
78,0,0,0,0.22817692
79,0,0,0,0.24825113
80,1,1,0,0.2509226
81,0,1,1,1.5325723
82,0,0,0,0.30434623
83,1,1,0,0.6373288
84,0,0,0,0.4150145
85,1,1,0,0.54140544
86,0,0,0,0.9450591
87,0,0,0,0.1472068
88,0,1,1,1.5689021
89,1,0,1,1.5063652
90,0,0,0,0.352633
91,0,0,0,0.48536962
92,1,1,0,0.88811684
93,1,1,0,0.24949446
95,1,1,0,0.22255312
96,0,1,1,0.67878366
97,1,1,0,1.5140357
98,0,0,0,0.23256272
