id,label,cluster_id
1,1,1_sparse
2,1,1_dense
3,1,1_sparse
4,0,0_sparse
5,1,1_dense
6,0,0_dense
7,1,1_dense
8,1,1_sparse
9,1,1_sparse
10,0,0_dense
11,1,1_dense
12,1,1_sparse
13,0,0_dense
14,1,1_dense
15,1,1_dense
16,1,1_dense
17,0,0_sparse
18,0,0_dense
19,0,0_dense
20,1,1_dense
21,1,1_dense
22,0,0_sparse
23,0,0_sparse
24,1,1_dense
25,0,0_dense
26,1,1_sparse
27,0,0_sparse
28,1,1_sparse
29,0,0_sparse
30,1,1_sparse
31,0,0_sparse
32,0,0_dense
33,0,0_dense
34,1,1_sparse
35,1,1_sparse
36,0,0_dense
37,1,1_sparse
38,1,1_sparse
39,0,0_dense
40,1,1_sparse
41,0,0_dense
42,1,1_dense
43,0,0_dense
44,0,0_sparse
45,1,1_sparse
46,1,1_sparse
47,1,1_dense
48,0,0_dense
49,0,0_dense
50,1,1_sparse
51,0,0_sparse
52,0,0_dense
53,1,1_dense
54,1,1_dense
55,0,0_dense
56,1,1_sparse
57,0,0_dense
58,1,1_dense
59,1,1_sparse
60,1,1_sparse
61,0,0_dense
62,1,1_dense
63,0,0_dense
64,1,1_dense
65,0,0_sparse
66,1,1_dense
67,1,1_dense
68,0,0_dense
69,1,1_dense
70,1,1_sparse
71,1,1_sparse
72,0,0_dense
73,1,1_sparse
74,0,0_dense
75,1,1_sparse
76,1,1_dense
77,1,1_sparse
78,0,0_dense
79,0,0_dense
80,0,0_sparse
81,1,1_dense
82,1,1_sparse
83,0,0_sparse
84,1,1_dense
85,1,1_dense
86,1,1_sparse
87,0,0_dense
88,0,0_sparse
89,1,1_sparse
90,0,0_sparse
91,1,1_dense
92,0,0_sparse
93,0,0_sparse
94,1,1_sparse
95,0,0_dense
96,0,0_dense
97,0,0_sparse
98,0,0_sparse
99,0,0_sparse
100,0,0_sparse
101,1,1_sparse
102,1,1_dense
103,1,1_dense
104,1,1_dense
105,1,1_sparse
106,0,0_dense
107,1,1_dense
108,0,0_sparse
109,0,0_sparse
110,0,0_sparse
111,1,1_dense
112,0,0_dense
113,1,1_dense
114,1,1_sparse
115,0,0_sparse
116,0,0_dense
117,1,1_sparse
118,0,0_sparse
119,1,1_sparse
120,1,1_sparse
121,1,1_sparse
122,0,0_sparse
123,0,0_sparse
124,0,0_dense
125,0,0_dense
126,1,1_dense
127,1,1_dense
128,0,0_dense
129,0,0_dense
130,1,1_sparse
131,1,1_dense
132,1,1_dense
133,1,1_dense
134,0,0_sparse
135,1,1_dense
136,1,1_sparse
137,1,1_dense
138,0,0_dense
139,1,1_dense
140,1,1_dense
141,1,1_sparse
142,1,1_dense
143,1,1_dense
144,1,1_dense
145,1,1_sparse
146,1,1_sparse
147,0,0_dense
148,0,0_dense
149,0,0_sparse
150,1,1_sparse
151,1,1_sparse
152,1,1_sparse
153,0,0_sparse
154,0,0_sparse
155,0,0_sparse
156,0,0_dense
157,0,0_sparse
158,0,0_dense
159,1,1_dense
160,0,0_sparse
161,0,0_dense
162,1,1_sparse
163,1,1_dense
164,0,0_sparse
165,0,0_dense
166,1,1_dense
167,1,1_sparse
168,1,1_dense
169,0,0_dense
170,1,1_dense
171,1,1_dense
172,1,1_dense
173,0,0_dense
174,1,1_sparse
175,0,0_dense
176,1,1_sparse
177,0,0_dense
178,1,1_sparse
179,0,0_sparse
180,1,1_dense
181,1,1_dense
182,0,0_dense
183,0,0_dense
184,0,0_dense
185,1,1_dense
186,1,1_dense
187,1,1_sparse
188,0,0_dense
189,1,1_dense
190,1,1_sparse
191,1,1_dense
192,0,0_sparse
193,1,1_sparse
194,0,0_dense
195,1,1_sparse
196,0,0_dense
197,1,1_dense
198,1,1_dense
199,1,1_sparse
200,1,1_sparse
201,1,1_sparse
202,1,1_dense
203,0,0_dense
204,0,0_sparse
205,1,1_dense
206,0,0_dense
207,0,0_sparse
208,1,1_sparse
209,0,0_dense
210,0,0_sparse
211,0,0_sparse
212,1,1_dense
213,0,0_dense
214,1,1_sparse
215,0,0_dense
216,0,0_dense
217,1,1_dense
218,0,0_dense
219,0,0_sparse
220,1,1_dense
221,1,1_dense
222,0,0_dense
223,1,1_dense
224,1,1_dense
225,1,1_sparse
226,0,0_sparse
227,1,1_sparse
228,1,1_dense
229,0,0_dense
230,0,0_dense
231,0,0_sparse
232,1,1_sparse
233,0,0_dense
234,0,0_dense
235,1,1_sparse
236,1,1_dense
237,0,0_sparse
238,1,1_dense
239,1,1_dense
240,1,1_sparse
241,0,0_dense
242,0,0_dense
243,1,1_dense
244,1,1_sparse
245,1,1_sparse
246,0,0_dense
247,1,1_dense
248,1,1_dense
249,1,1_dense
250,1,1_sparse
251,1,1_sparse
252,1,1_sparse
253,0,0_sparse
254,1,1_sparse
255,1,1_dense
256,0,0_sparse
257,0,0_sparse
258,1,1_sparse
259,1,1_dense
260,0,0_sparse
261,0,0_dense
262,0,0_dense
263,0,0_sparse
264,1,1_dense
265,0,0_dense
266,0,0_dense
267,0,0_dense
268,1,1_dense
269,1,1_sparse
270,0,0_sparse
271,0,0_dense
272,1,1_sparse
273,0,0_sparse
274,0,0_dense
275,0,0_dense
276,1,1_sparse
277,0,0_dense
278,1,1_dense
279,1,1_sparse
280,0,0_sparse
281,1,1_dense
282,1,1_sparse
283,1,1_dense
284,0,0_sparse
285,1,1_sparse
286,0,0_dense
287,0,0_sparse
288,0,0_sparse
289,0,0_sparse
290,0,0_dense
291,0,0_sparse
292,1,1_dense
293,1,1_dense
294,1,1_dense
295,0,0_dense
296,1,1_sparse
297,1,1_sparse
298,1,1_sparse
299,1,1_sparse
300,1,1_dense
301,1,1_sparse
302,0,0_sparse
303,0,0_sparse
304,1,1_dense
305,1,1_sparse
306,0,0_sparse
307,1,1_dense
308,1,1_dense
309,1,1_dense
310,0,0_sparse
311,1,1_sparse
312,0,0_dense
313,0,0_dense
314,1,1_sparse
315,0,0_dense
316,1,1_dense
317,1,1_sparse
318,1,1_sparse
319,1,1_sparse
320,0,0_dense
321,1,1_dense
322,0,0_dense
323,0,0_sparse
324,1,1_dense
325,1,1_sparse
326,1,1_dense
327,0,0_sparse
328,0,0_sparse
329,1,1_sparse
330,1,1_dense
331,1,1_dense
332,0,0_sparse
333,0,0_sparse
334,0,0_dense
335,1,1_dense
336,1,1_sparse
337,0,0_dense
338,0,0_sparse
339,0,0_sparse
340,0,0_sparse
341,0,0_dense
342,0,0_sparse
343,0,0_sparse
344,0,0_dense
345,0,0_dense
346,1,1_sparse
347,1,1_sparse
348,1,1_dense
349,1,1_dense
350,0,0_sparse
351,0,0_sparse
352,0,0_sparse
353,1,1_dense
354,0,0_sparse
355,0,0_dense
356,0,0_dense
357,0,0_dense
358,0,0_sparse
359,0,0_dense
360,1,1_sparse
361,0,0_dense
362,1,1_dense
363,0,0_dense
364,0,0_dense
365,1,1_dense
366,0,0_sparse
367,1,1_dense
368,0,0_dense
369,0,0_sparse
370,1,1_dense
371,1,1_sparse
372,1,1_sparse
373,0,0_dense
374,0,0_dense
375,0,0_dense
376,0,0_sparse
377,0,0_dense
378,1,1_sparse
379,1,1_dense
380,1,1_dense
381,0,0_dense
382,0,0_dense
383,1,1_sparse
384,0,0_sparse
385,0,0_sparse
386,0,0_sparse
387,0,0_dense
388,0,0_sparse
389,0,0_dense
390,0,0_dense
391,1,1_dense
392,1,1_dense
393,0,0_sparse
394,0,0_dense
395,0,0_dense
396,1,1_sparse
397,1,1_sparse
398,1,1_dense
399,0,0_sparse
400,1,1_dense
401,0,0_dense
402,0,0_dense
403,0,0_sparse
404,0,0_dense
405,1,1_sparse
406,1,1_sparse
407,0,0_dense
408,0,0_sparse
409,1,1_sparse
410,0,0_sparse
411,0,0_sparse
412,0,0_dense
413,1,1_dense
414,1,1_sparse
415,1,1_sparse
416,1,1_dense
417,1,1_sparse
418,1,1_dense
419,1,1_sparse
420,0,0_sparse
421,0,0_sparse
422,1,1_dense
423,1,1_sparse
424,0,0_sparse
425,0,0_dense
426,1,1_dense
427,1,1_sparse
428,1,1_dense
429,1,1_dense
430,0,0_sparse
431,1,1_dense
432,0,0_dense
433,0,0_dense
434,0,0_dense
435,1,1_sparse
436,1,1_sparse
437,1,1_sparse
438,0,0_dense
439,1,1_dense
440,0,0_dense
441,1,1_sparse
442,1,1_dense
443,0,0_dense
444,0,0_dense
445,1,1_sparse
446,0,0_dense
447,0,0_sparse
448,1,1_sparse
449,1,1_dense
450,0,0_sparse
451,1,1_sparse
452,1,1_dense
453,0,0_dense
454,0,0_dense
455,0,0_sparse
456,0,0_sparse
457,0,0_dense
458,1,1_dense
459,0,0_sparse
460,0,0_dense
461,0,0_dense
462,1,1_dense
463,0,0_dense
464,1,1_sparse
465,0,0_dense
466,0,0_dense
467,0,0_sparse
468,1,1_dense
469,0,0_dense
470,0,0_dense
471,0,0_sparse
472,1,1_dense
473,0,0_sparse
474,0,0_dense
475,1,1_sparse
476,1,1_dense
477,1,1_dense
478,0,0_dense
479,1,1_sparse
480,0,0_sparse
481,1,1_dense
482,0,0_sparse
483,1,1_dense
484,0,0_sparse
485,1,1_sparse
486,1,1_sparse
487,1,1_sparse
488,0,0_sparse
489,1,1_sparse
490,0,0_sparse
491,0,0_sparse
492,1,1_sparse
493,1,1_dense
494,0,0_dense
495,0,0_sparse
496,1,1_dense
497,1,1_sparse
498,0,0_sparse
499,1,1_sparse
500,0,0_sparse
501,1,1_sparse
502,1,1_dense
503,0,0_sparse
504,1,1_dense
505,0,0_sparse
506,1,1_dense
507,1,1_dense
508,1,1_dense
509,1,1_dense
510,1,1_dense
511,1,1_sparse
512,1,1_dense
513,0,0_dense
514,0,0_sparse
515,0,0_sparse
516,1,1_sparse
517,1,1_sparse
518,0,0_sparse
519,0,0_sparse
520,1,1_dense
521,1,1_sparse
522,1,1_sparse
523,0,0_sparse
524,1,1_dense
525,1,1_sparse
526,0,0_dense
527,0,0_sparse
528,1,1_dense
529,1,1_dense
530,1,1_dense
531,1,1_sparse
532,1,1_sparse
533,0,0_sparse
534,1,1_sparse
535,0,0_dense
536,1,1_sparse
537,1,1_sparse
538,0,0_sparse
539,1,1_dense
540,1,1_sparse
541,1,1_dense
542,0,0_dense
543,1,1_dense
544,1,1_dense
545,0,0_dense
546,1,1_dense
547,0,0_sparse
548,1,1_sparse
549,0,0_sparse
550,0,0_dense
551,0,0_sparse
552,1,1_dense
553,1,1_sparse
554,0,0_sparse
555,1,1_dense
556,1,1_dense
557,0,0_dense
558,0,0_sparse
559,0,0_dense
560,1,1_sparse
561,1,1_sparse
562,1,1_sparse
563,0,0_dense
564,1,1_sparse
565,1,1_sparse
566,0,0_sparse
567,0,0_dense
568,0,0_dense
569,0,0_dense
570,1,1_sparse
571,1,1_dense
572,1,1_sparse
573,0,0_dense
574,1,1_dense
575,0,0_sparse
576,1,1_dense
577,1,1_dense
578,0,0_dense
579,1,1_sparse
580,1,1_sparse
581,1,1_dense
582,1,1_sparse
583,0,0_sparse
584,0,0_dense
585,1,1_sparse
586,1,1_dense
587,0,0_sparse
588,0,0_sparse
589,1,1_dense
590,1,1_dense
591,1,1_sparse
592,0,0_dense
593,1,1_sparse
594,0,0_sparse
595,1,1_dense
596,1,1_dense
597,0,0_sparse
598,0,0_sparse
599,1,1_dense
600,1,1_sparse
601,1,1_dense
602,0,0_sparse
603,0,0_dense
604,0,0_dense
605,1,1_dense
606,0,0_dense
607,0,0_sparse
608,1,1_sparse
609,1,1_sparse
610,1,1_dense
611,1,1_sparse
612,0,0_sparse
613,1,1_dense
614,0,0_dense
615,0,0_sparse
616,1,1_dense
617,0,0_sparse
618,0,0_dense
619,1,1_sparse
620,1,1_dense
621,1,1_dense
622,1,1_dense
623,1,1_sparse
624,0,0_sparse
625,1,1_sparse
626,0,0_sparse
627,0,0_sparse
628,1,1_sparse
629,0,0_sparse
630,1,1_dense
631,1,1_sparse
632,1,1_dense
633,0,0_sparse
634,0,0_sparse
635,0,0_dense
636,1,1_dense
637,1,1_dense
638,1,1_dense
639,0,0_sparse
640,1,1_sparse
641,0,0_dense
642,0,0_dense
643,0,0_dense
644,1,1_sparse
645,0,0_dense
646,0,0_sparse
647,1,1_sparse
648,0,0_sparse
649,0,0_dense
650,0,0_sparse
651,1,1_dense
652,1,1_sparse
653,1,1_dense
654,0,0_sparse
655,1,1_sparse
656,1,1_dense
657,0,0_dense
658,1,1_sparse
659,1,1_dense
660,1,1_sparse
661,0,0_sparse
662,0,0_dense
663,0,0_sparse
664,0,0_dense
665,1,1_sparse
666,1,1_dense
667,1,1_sparse
668,1,1_dense
669,0,0_sparse
670,1,1_sparse
671,1,1_sparse
672,0,0_dense
673,1,1_sparse
674,1,1_dense
675,0,0_dense
676,1,1_dense
677,0,0_dense
678,0,0_sparse
679,1,1_dense
680,0,0_sparse
681,1,1_sparse
682,0,0_dense
683,1,1_dense
684,0,0_sparse
685,1,1_dense
686,1,1_sparse
687,1,1_dense
688,1,1_dense
689,1,1_dense
690,0,0_sparse
691,0,0_dense
692,1,1_sparse
693,1,1_sparse
694,1,1_dense
695,1,1_sparse
696,1,1_dense
697,0,0_dense
698,1,1_dense
699,0,0_dense
700,0,0_sparse
701,1,1_sparse
702,0,0_sparse
703,0,0_sparse
704,1,1_sparse
705,1,1_dense
706,0,0_dense
707,1,1_sparse
708,0,0_sparse
709,1,1_dense
710,0,0_dense
711,0,0_dense
712,0,0_dense
713,1,1_sparse
714,0,0_dense
715,0,0_sparse
716,1,1_dense
717,1,1_sparse
718,1,1_dense
719,1,1_dense
720,0,0_sparse
721,1,1_dense
722,1,1_sparse
723,0,0_sparse
724,0,0_dense
725,0,0_sparse
726,0,0_sparse
727,0,0_sparse
728,0,0_dense
729,0,0_sparse
730,0,0_sparse
731,1,1_dense
732,1,1_sparse
733,1,1_dense
734,1,1_dense
735,1,1_sparse
736,1,1_sparse
737,1,1_dense
738,0,0_dense
739,1,1_sparse
740,0,0_sparse
741,1,1_sparse
742,1,1_sparse
743,1,1_dense
744,1,1_dense
745,0,0_dense
746,1,1_sparse
747,1,1_dense
748,0,0_dense
749,0,0_sparse
750,1,1_sparse
751,0,0_sparse
752,1,1_dense
753,1,1_sparse
754,0,0_sparse
755,1,1_dense
756,0,0_sparse
757,0,0_sparse
758,0,0_sparse
759,1,1_sparse
760,0,0_dense
761,0,0_dense
762,0,0_sparse
763,1,1_dense
764,0,0_sparse
765,1,1_dense
766,0,0_sparse
767,0,0_sparse
768,0,0_dense
769,1,1_sparse
770,1,1_sparse
771,1,1_sparse
772,1,1_sparse
773,1,1_dense
774,0,0_dense
775,0,0_dense
776,0,0_sparse
777,0,0_dense
778,1,1_dense
779,1,1_sparse
780,1,1_dense
781,0,0_sparse
782,1,1_sparse
783,0,0_sparse
784,1,1_dense
785,0,0_sparse
786,1,1_dense
787,1,1_dense
788,0,0_sparse
789,1,1_sparse
790,0,0_dense
791,0,0_sparse
792,0,0_dense
793,0,0_dense
794,1,1_sparse
795,0,0_sparse
796,0,0_dense
797,0,0_sparse
798,0,0_sparse
799,0,0_sparse
800,0,0_dense
801,0,0_dense
802,1,1_sparse
803,1,1_sparse
804,0,0_sparse
805,0,0_dense
806,1,1_dense
807,0,0_dense
808,1,1_dense
809,1,1_dense
810,0,0_sparse
811,0,0_dense
812,1,1_dense
813,0,0_dense
814,0,0_dense
815,0,0_dense
816,1,1_sparse
817,0,0_dense
818,0,0_sparse
819,1,1_sparse
820,1,1_sparse
821,0,0_sparse
822,1,1_dense
823,0,0_sparse
824,1,1_dense
825,1,1_dense
826,0,0_dense
827,0,0_dense
828,0,0_sparse
829,1,1_dense
830,0,0_sparse
831,0,0_sparse
832,1,1_dense
833,0,0_dense
834,1,1_sparse
835,1,1_dense
836,1,1_dense
837,1,1_dense
838,1,1_sparse
839,0,0_sparse
840,1,1_sparse
841,0,0_dense
842,1,1_sparse
843,0,0_sparse
844,0,0_sparse
845,0,0_dense
846,0,0_dense
847,0,0_sparse
848,0,0_sparse
849,0,0_sparse
850,1,1_dense
851,1,1_sparse
852,0,0_sparse
853,1,1_sparse
854,0,0_sparse
855,1,1_dense
856,0,0_dense
857,0,0_dense
858,0,0_sparse
859,1,1_dense
860,0,0_sparse
861,0,0_dense
862,1,1_dense
863,1,1_sparse
864,1,1_dense
865,0,0_sparse
866,0,0_dense
867,1,1_sparse
868,0,0_dense
869,0,0_dense
870,1,1_sparse
871,0,0_sparse
872,0,0_sparse
873,1,1_dense
874,0,0_dense
875,0,0_dense
876,0,0_dense
877,0,0_dense
878,1,1_sparse
879,1,1_dense
880,1,1_sparse
881,1,1_sparse
882,1,1_sparse
883,0,0_sparse
884,1,1_dense
885,0,0_sparse
886,0,0_dense
887,1,1_dense
888,1,1_dense
889,1,1_dense
890,0,0_sparse
891,1,1_dense
892,0,0_dense
893,1,1_dense
894,1,1_dense
895,0,0_dense
896,0,0_sparse
897,0,0_dense
898,1,1_dense
899,0,0_dense
900,0,0_sparse
901,0,0_sparse
902,0,0_dense
903,0,0_dense
904,0,0_sparse
905,1,1_sparse
906,1,1_sparse
907,0,0_sparse
908,0,0_dense
909,0,0_sparse
910,0,0_sparse
911,0,0_dense
912,0,0_dense
913,0,0_sparse
914,0,0_dense
915,1,1_sparse
916,0,0_dense
917,0,0_dense
918,1,1_dense
919,0,0_sparse
920,0,0_dense
921,0,0_dense
922,0,0_dense
923,1,1_dense
924,1,1_dense
925,0,0_dense
926,1,1_sparse
927,1,1_dense
928,1,1_dense
929,1,1_sparse
930,1,1_dense
931,0,0_dense
932,0,0_sparse
933,1,1_dense
934,1,1_sparse
935,0,0_sparse
936,1,1_dense
937,1,1_dense
938,0,0_sparse
939,1,1_sparse
940,0,0_sparse
941,1,1_sparse
942,0,0_dense
943,0,0_sparse
944,0,0_sparse
945,0,0_sparse
946,0,0_sparse
947,1,1_sparse
948,1,1_sparse
949,1,1_dense
950,0,0_sparse
951,1,1_sparse
952,1,1_sparse
953,1,1_sparse
954,0,0_sparse
955,1,1_sparse
956,1,1_sparse
957,0,0_sparse
958,1,1_dense
959,0,0_sparse
960,0,0_sparse
961,1,1_dense
962,0,0_sparse
963,0,0_sparse
964,0,0_sparse
965,0,0_dense
966,1,1_dense
967,1,1_dense
968,1,1_sparse
969,0,0_dense
970,1,1_sparse
971,0,0_sparse
972,1,1_sparse
973,0,0_sparse
974,1,1_sparse
975,0,0_dense
976,0,0_sparse
977,0,0_sparse
978,1,1_dense
979,0,0_dense
980,0,0_sparse
981,1,1_sparse
982,1,1_dense
983,0,0_dense
984,0,0_sparse
985,1,1_dense
986,0,0_sparse
987,0,0_dense
988,1,1_sparse
989,1,1_dense
990,0,0_dense
991,1,1_sparse
992,1,1_sparse
993,1,1_sparse
994,1,1_sparse
995,1,1_dense
996,1,1_dense
997,0,0_dense
998,1,1_dense
999,0,0_sparse
1000,0,0_sparse
1001,0,0_sparse
1002,1,1_dense
1003,0,0_dense
1004,0,0_sparse
1005,0,0_dense
1006,0,0_dense
1007,1,1_dense
1008,0,0_dense
1009,0,0_sparse
1010,0,0_sparse
1011,0,0_dense
1012,1,1_dense
1013,1,1_dense
1014,1,1_sparse
1015,1,1_dense
1016,0,0_dense
1017,1,1_dense
1018,0,0_dense
1019,1,1_sparse
1020,0,0_dense
1021,0,0_dense
1022,1,1_dense
1023,1,1_dense
1024,0,0_sparse
1025,1,1_sparse
1026,1,1_sparse
1027,0,0_sparse
1028,0,0_sparse
1029,1,1_dense
1030,0,0_dense
1031,1,1_dense
1032,0,0_dense
1033,0,0_sparse
1034,0,0_dense
1035,0,0_sparse
1036,1,1_sparse
1037,1,1_dense
1038,0,0_dense
1039,1,1_dense
1040,0,0_dense
1041,0,0_dense
1042,0,0_dense
1043,0,0_sparse
1044,1,1_dense
1045,1,1_dense
1046,0,0_dense
1047,0,0_dense
1048,1,1_dense
1049,1,1_sparse
1050,0,0_dense
1051,1,1_dense
1052,0,0_sparse
1053,1,1_dense
1054,1,1_sparse
1055,0,0_dense
1056,1,1_sparse
1057,0,0_sparse
1058,1,1_sparse
1059,0,0_sparse
1060,1,1_dense
1061,1,1_dense
1062,1,1_sparse
1063,1,1_dense
1064,0,0_sparse
1065,1,1_dense
1066,0,0_sparse
1067,0,0_dense
1068,0,0_dense
1069,1,1_dense
1070,1,1_sparse
1071,0,0_sparse
1072,1,1_dense
1073,1,1_dense
1074,0,0_dense
1075,0,0_dense
1076,0,0_sparse
1077,0,0_sparse
1078,0,0_dense
1079,0,0_dense
1080,1,1_dense
1081,1,1_dense
1082,1,1_dense
1083,0,0_sparse
1084,0,0_dense
1085,0,0_sparse
1086,1,1_sparse
1087,1,1_dense
1088,0,0_sparse
1089,1,1_sparse
1090,0,0_sparse
1091,0,0_sparse
1092,0,0_sparse
1093,0,0_dense
1094,0,0_sparse
1095,0,0_dense
1096,1,1_dense
1097,1,1_sparse
1098,1,1_dense
1099,1,1_sparse
1100,1,1_sparse
1101,1,1_sparse
1102,0,0_dense
1103,0,0_sparse
1104,0,0_dense
1105,0,0_dense
1106,0,0_dense
1107,1,1_sparse
1108,1,1_sparse
1109,0,0_sparse
1110,0,0_dense
1111,1,1_dense
1112,0,0_dense
1113,0,0_dense
1114,0,0_sparse
1115,0,0_sparse
1116,1,1_sparse
1117,0,0_dense
1118,0,0_sparse
1119,0,0_sparse
1120,1,1_sparse
1121,1,1_sparse
1122,0,0_dense
1123,0,0_sparse
1124,1,1_dense
1125,0,0_dense
1126,0,0_dense
1127,1,1_sparse
1128,1,1_sparse
1129,0,0_sparse
1130,0,0_dense
1131,0,0_dense
1132,0,0_sparse
1133,0,0_dense
1134,1,1_sparse
1135,1,1_dense
1136,0,0_dense
1137,0,0_dense
1138,0,0_dense
1139,0,0_sparse
1140,0,0_sparse
1141,0,0_dense
1142,0,0_dense
1143,0,0_dense
1144,1,1_dense
1145,0,0_dense
1146,0,0_sparse
1147,0,0_sparse
1148,0,0_sparse
1149,1,1_dense
1150,1,1_dense
1151,1,1_dense
1152,0,0_dense
1153,0,0_sparse
1154,1,1_dense
1155,0,0_dense
1156,1,1_sparse
1157,0,0_sparse
1158,1,1_sparse
1159,0,0_dense
1160,0,0_dense
1161,0,0_sparse
1162,1,1_sparse
1163,1,1_sparse
1164,1,1_sparse
1165,1,1_sparse
1166,0,0_sparse
1167,1,1_dense
1168,0,0_sparse
1169,0,0_sparse
1170,1,1_sparse
1171,0,0_sparse
1172,1,1_sparse
1173,0,0_sparse
1174,0,0_sparse
1175,0,0_dense
1176,1,1_dense
1177,0,0_sparse
1178,0,0_sparse
1179,1,1_sparse
1180,0,0_sparse
1181,0,0_dense
1182,1,1_dense
1183,0,0_dense
1184,1,1_dense
1185,0,0_sparse
1186,1,1_sparse
1187,1,1_dense
1188,1,1_sparse
1189,0,0_sparse
1190,0,0_sparse
1191,1,1_sparse
1192,0,0_dense
1193,1,1_sparse
1194,0,0_sparse
1195,1,1_dense
1196,1,1_dense
1197,1,1_dense
1198,1,1_dense
1199,1,1_sparse
1200,0,0_dense
1201,1,1_sparse
1202,1,1_dense
1203,1,1_dense
1204,1,1_dense
1205,1,1_sparse
1206,1,1_sparse
1207,0,0_dense
1208,0,0_dense
1209,0,0_sparse
1210,1,1_sparse
1211,0,0_sparse
1212,0,0_sparse
1213,1,1_dense
1214,1,1_dense
1215,0,0_dense
1216,1,1_dense
1217,1,1_sparse
1218,1,1_sparse
1219,1,1_sparse
1220,1,1_sparse
1221,1,1_dense
1222,0,0_sparse
1223,0,0_dense
1224,1,1_sparse
1225,1,1_sparse
1226,1,1_sparse
1227,1,1_sparse
1228,0,0_dense
1229,0,0_sparse
1230,1,1_dense
1231,0,0_sparse
1232,1,1_sparse
1233,1,1_sparse
1234,1,1_sparse
1235,0,0_sparse
1236,0,0_dense
1237,1,1_dense
1238,1,1_sparse
1239,1,1_sparse
1240,0,0_sparse
1241,1,1_sparse
1242,0,0_dense
1243,1,1_dense
1244,1,1_dense
1245,0,0_sparse
1246,1,1_sparse
1247,0,0_dense
1248,1,1_sparse
1249,1,1_dense
1250,1,1_dense
1251,1,1_dense
1252,0,0_sparse
1253,0,0_sparse
1254,0,0_sparse
1255,1,1_sparse
1256,1,1_sparse
1257,0,0_sparse
1258,1,1_sparse
1259,1,1_dense
1260,0,0_dense
1261,0,0_dense
1262,1,1_dense
1263,1,1_sparse
1264,1,1_sparse
1265,1,1_dense
1266,1,1_sparse
1267,1,1_dense
1268,1,1_sparse
1269,1,1_dense
1270,1,1_sparse
1271,1,1_sparse
1272,0,0_dense
1273,1,1_dense
1274,1,1_sparse
1275,1,1_dense
1276,0,0_sparse
1277,1,1_dense
1278,1,1_sparse
1279,1,1_dense
1280,0,0_dense
1281,1,1_sparse
1282,1,1_sparse
1283,1,1_sparse
1284,1,1_dense
1285,0,0_dense
1286,1,1_sparse
1287,1,1_sparse
1288,1,1_sparse
1289,0,0_dense
1290,0,0_dense
1291,0,0_dense
1292,1,1_sparse
1293,0,0_sparse
1294,0,0_sparse
1295,0,0_dense
1296,0,0_sparse
1297,0,0_dense
1298,0,0_dense
1299,1,1_sparse
1300,1,1_dense
1301,0,0_sparse
1302,1,1_sparse
1303,1,1_dense
1304,0,0_dense
1305,1,1_dense
1306,1,1_dense
1307,0,0_dense
1308,0,0_dense
1309,1,1_sparse
1310,0,0_dense
1311,0,0_sparse
1312,0,0_dense
1313,0,0_dense
1314,1,1_dense
1315,1,1_dense
1316,0,0_dense
1317,0,0_dense
1318,1,1_sparse
1319,1,1_dense
1320,0,0_sparse
1321,1,1_sparse
1322,0,0_sparse
1323,1,1_sparse
1324,0,0_sparse
1325,0,0_sparse
1326,1,1_sparse
1327,0,0_dense
1328,1,1_sparse
1329,0,0_dense
1330,1,1_sparse
1331,0,0_sparse
1332,1,1_dense
1333,1,1_sparse
1334,1,1_sparse
1335,1,1_sparse
1336,1,1_sparse
1337,1,1_sparse
1338,0,0_sparse
1339,1,1_dense
1340,1,1_sparse
1341,1,1_sparse
1342,0,0_dense
1343,0,0_sparse
1344,0,0_sparse
1345,0,0_dense
1346,0,0_dense
1347,1,1_dense
1348,1,1_sparse
1349,1,1_dense
1350,1,1_sparse
1351,0,0_dense
1352,1,1_sparse
1353,1,1_dense
1354,0,0_dense
1355,1,1_sparse
1356,1,1_dense
1357,0,0_dense
1358,0,0_dense
1359,0,0_sparse
1360,0,0_sparse
1361,1,1_sparse
1362,1,1_sparse
1363,1,1_sparse
1364,0,0_dense
