Train_ID,Score
2639,1.3918851891503436e-05
1441,8.336775863426737e-06
4164,7.757908178973594e-06
4125,7.568303999505588e-06
2282,7.190966471171123e-06
3107,7.123774139472516e-06
3154,6.831618975411402e-06
2135,5.961725491943071e-06
3308,5.631226940749912e-06
883,4.884674808636191e-06
4765,4.811016651729005e-06
3559,4.352015594122349e-06
2098,4.32111323789286e-06
2264,4.139628799748607e-06
3158,4.138437134315609e-06
4217,4.093858933629235e-06
936,4.028003331768559e-06
2391,3.972488457293366e-06
2856,3.869448960358568e-06
746,3.6096589610679075e-06
1285,3.56903785814211e-06
2913,3.532098958203278e-06
4420,3.505233621581283e-06
3203,3.4114999607481877e-06
186,3.2973040333672543e-06
2270,3.2594498406979255e-06
1326,3.2506476372873294e-06
4758,3.1806885090190917e-06
3104,2.9935564498373424e-06
2158,2.984942625516851e-06
3566,2.971443223032111e-06
1123,2.799892286020622e-06
2131,2.7910934932151577e-06
4339,2.6978740379490773e-06
2737,2.6729214823717484e-06
2334,2.6383132762930472e-06
3683,2.6040933107651654e-06
4172,2.5873956701616407e-06
3455,2.5446166773690493e-06
4618,2.5231679501303006e-06
2766,2.517419375180907e-06
2936,2.511455818421382e-06
4851,2.503589598745748e-06
195,2.4980880652947235e-06
1975,2.4264579678856535e-06
4269,2.4105298734866665e-06
2059,2.3661817749598413e-06
3477,2.3348645754595054e-06
4022,2.3253080598806264e-06
2821,2.31743047152122e-06
1917,2.315396727681218e-06
4984,2.259813641103392e-06
2301,2.237783178316022e-06
4756,2.235433271380316e-06
1632,2.120473482136731e-06
3553,2.119843429682078e-06
2313,2.0927047899022e-06
3532,1.9983804122603033e-06
1089,1.9842674987557984e-06
1662,1.9762730971706333e-06
1324,1.915679945341253e-06
1795,1.8699880115491396e-06
1943,1.8672621990845073e-06
4084,1.8543724422670493e-06
3314,1.8496987195248948e-06
4475,1.8351360608903633e-06
3388,1.8279465052728483e-06
2636,1.8108623294210702e-06
1933,1.8008368556365895e-06
1761,1.7897452835313743e-06
2277,1.781666412625782e-06
2543,1.7810721146815922e-06
4171,1.7596671568753663e-06
4463,1.7151240285784297e-06
4771,1.6929638491092192e-06
4514,1.6912587739170704e-06
310,1.6830670119816205e-06
4773,1.671825657467707e-06
4160,1.6448608448627056e-06
140,1.6341060700142407e-06
4721,1.6220432712543698e-06
1567,1.615132930510299e-06
1681,1.6146158259289223e-06
1067,1.6123712498483656e-06
3482,1.6036980241551646e-06
3582,1.5996151319086493e-06
4182,1.518748433682049e-06
923,1.5094358900569205e-06
3446,1.4905024841027625e-06
2439,1.4757569601897558e-06
3816,1.4732794966221263e-06
4971,1.4357057693814568e-06
239,1.4071108580537839e-06
